1-upc	2-upc	3-upc	4-upc	5-upc	6-upc	7-upc	8-upc	9-upc	10-upc	11-upc	12-upc	13-upc	14-upc	15-upc	16-upc	17-upc	18-upc	19-upc	20-upc	21-upc	22-upc	23-upc	24-upc	25-upc	26-upc	27-upc	28-upc	29-upc	30-upc	31-upc	32-upc	33-upc	34-upc	35-upc	36-upc	37-upc	38-upc	39-upc	40-upc	41-upc	42-upc	43-upc	44-upc	45-upc	46-upc	47-upc	48-upc	49-upc	50-upc	51-upc	52-upc	53-upc	54-upc	55-upc	56-upc	57-upc
0.894683908	0.8694444444	2	0.5022497704	0.3755764775	0.3686003352	0.7586206897	0.9736842105	0.6296296296	0.7713243547	0.7136759349	0.8390599343	0.1666666667	0.1578815624	0.1695402299	0.2366666667	0.232477057	0.1816451149	20114.6	0.7907706487	206.062	75.362	73.031	32.6858	217.387	17078.2	200.082	172.36	68.1987	61.4772	27.1996	177.492	16833.9	180.851	173.406	67.7185	61.4468	27.6412	179.199	0	25.0	25.0	4.24	-51.3567	-50.6829	1.0869565	356.72	0.031375013	0.0	1.0	0.041666668	0.7916667	0.13043478	0.26086956	1.0	2.0	2.0	
0.9111688312	0.9657142857	3	0.444645979	0.3823416647	0.378030303	0.5806451613	0.9565217391	0.5483870968	0.8408653846	0.7013442669	0.8369820656	0.0857142857	0.1611643018	0.0857142857	0.2111263736	0.2245212438	0.1943722944	1824.68	0.7754787562	359.626	74.7067	78.9716	18.9453	351.251	1445.11	327.683	448.668	73.662	76.6939	17.8174	275.456	1415.44	277.766	462.236	73.132	76.0308	17.6812	275.814	0	32.0	34.0	3.6875	-84.0007	-66.6459	1.2592592	291.4375	0.055342615	0.0	0.875	0.06451613	0.67741936	0.0	0.13333334	1.0	4.0	3.0	
0.8571428571	0.6842105263	0.8571428571	0.4912280702	0.3247415577	?	?	1	?	0.5087719298	0.6980579263	0.25	0.4444444444	0.1428571429	0	0.3157894737	0.2326847585	0.1428571429	104268	0.7421530978	375.088	106.026	115.417	44.2558	237.354	142538	248.061	431.538	119.719	133.684	44.9662	194.203	136588	206.953	427.118	119.424	130.257	44.0618	190.2	0	11.0	11.0	4.181818	-30.0067	-22.7173	1.0	139.09091	0.03803974	0.0	1.0	0.0	0.6	0.11111111	0.11111111	1.0	0.0	0.0	
0.6566362715	0.8726201482	3	0.4932277675	0.5971165194	0.6579689145	0.85	1	0.7222222222	0.7886920753	0.6332153812	0.6285066154	0.1941558442	0.3589605857	0.3007598784	0.2447888683	0.4014172925	0.3714933846	57134.9	0.7017834119	244.43	104.111	73.7422	41.0039	107.669	38028.1	161.1	195.438	100.431	66.075	28.8884	70.9056	36509.9	94.6299	224.732	101.126	66.2348	28.58	70.4992	0	18.0	17.0	3.3888888	-31.0044	-36.718	1.1333333	264.27777	0.020501914	0.0	1.0	0.0	0.9411765	0.0	0.75	1.0	3.0	3.0	
0.8725071085	0.897041847	2	0.4300215833	0.4372822531	0.4164487852	0.7916666667	1	0.75	0.7807215556	0.649429822	0.7641067704	0.153030303	0.2412134935	0.1751152074	0.2518398268	0.2923473124	0.236032781	4084.73	0.7076526876	139.703	93.7705	79.7961	32.6757	63.9823	16329.6	98.8927	110.109	85.0743	60.6699	32.3714	52.2893	16198.7	64.7732	108.879	84.1915	59.8774	32.211	51.6022	0	21.0	24.0	3.857143	-46.4844	-46.515	1.1428572	152.42857	0.03127793	0.0	1.0	0.0	0.85	0.0	0.47368422	1.0	2.0	2.0	
0.4829545455	0.5990990991	2	0.485663483	0.56342012	0.5663020246	0.5333333333	0.8888888889	0.5333333333	0.5454311454	0.5900550052	0.4614254793	0.3333333333	0.2847936621	0.5	0.4009009009	0.3514104365	0.5170454545	5536.26	0.6485895635	218.024	81.9938	88.7499	34.1828	201.481	2369.88	178.172	227.324	83.4234	102.688	36.4965	191.887	2321.69	188.424	223.02	83.2959	102.914	35.9055	189.437	0	18.0	19.0	3.6111112	-38.7255	-33.4437	1.117647	369.16666	0.022031473	0.0	1.0	0.0	0.9411765	0.125	0.4375	1.0	2.0	2.0	
?	0	?	?	0.4062498248	?	?	1	?	?	0.6285463329	?	?	0.2	?	0	0.3252964427	0	302.314	0.6747035573	357.873	83.5758	87.7724	29.6164	?	320.884	308.948	353.637	80.3776	81.4792	28.0557	?	314.198	328.713	348.226	79.358	79.9049	27.6445	?	0	6.0	10.0	7.0	-23.8588	-26.8341	1.25	56.5	0.038168963	0.0	1.0	0.2	0.6	0.0	0.0	1.0	0.0	0.0	
0.8651367917	0.8698390857	0	0.1807410503	0.3110003836	0.1872531792	0.7142857143	1	0.7142857143	0.8427070405	0.7338503606	0.8345668795	0.0666666667	0.1846228115	0.0579710145	0.0899782135	0.2234447591	0.082950265	393.697	0.7646078962	52.9097	39.6347	25.7313	15.4524	54.069	367.743	56.2781	66.9792	39.4577	26.9273	15.8652	66.5205	374.013	71.9333	66.3937	39.1013	26.4918	16.0234	65.4261	0.083333336	12.0	15.0	5.6666665	-30.9435	-30.5002	1.25	102.666664	0.055534318	0.083333336	0.75	0.0	0.36363637	0.0	0.2	0.8181818	0.0	0.0	
0.7106434011	0.8242009132	0	0.4800887869	0.4137491356	0.5438831877	0.9333333333	1	0.7857142857	0.7114319958	0.6888654107	0.6417223882	0.0365296804	0.1513513514	0.0366972477	0.2343987823	0.2974894012	0.2893565989	22473.3	0.7620084791	143.838	88.479	99.7007	46.5595	139.866	34730.3	147.642	134.107	86.4149	105.424	37.1963	121.874	33318.6	133.366	128.942	84.7673	101.024	37.5056	120.367	0	14.0	14.0	3.5	-24.6905	-25.2386	1.0	206.21428	0.02498786	0.0	1.0	0.0	1.0	0.083333336	0.6666667	1.0	0.0	0.0	
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	0	0	2053.92	0	2833.94	397.402	470.529	92.5061	?	1635.38	2178.4	2490.26	429.449	416.943	77.8301	?	1599.25	1685.29	2479.53	420.441	404.234	76.3454	?	0	9.0	10.0	4.5555553	-38.3852	-31.5302	1.0	72.22222	0.10377871	0.0	0.8888889	0.0	0.375	0.0	0.0	1.0	0.0	0.0	
0.75	0.875	5	0.6388888889	0.5424819625	0.75	?	0.84	?	0.6944444444	0.6776655443	0.75	0.3333333333	0.3282828283	0.2352941176	0.25	0.3802020202	0.25	5426.95	0.7572390572	458.54	79.4243	95.8419	19.7534	389.114	4307.17	394.627	330.782	74.8829	81.9299	15.9565	309.823	4150.91	311.564	329.284	74.9422	81.1416	15.8795	306.447	0	25.0	31.0	4.52	-82.9981	-68.0053	1.2916666	169.04	0.05478885	0.0	0.92	0.0	0.6666667	0.04347826	0.17391305	1.0	5.0	5.0	
?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	0	0	0	2614.16	0	382.324	538.692	594.111	73.9052	?	2763.22	2746.39	445.836	590.565	571.193	69.7914	?	2685.31	2984	443.754	575.62	546.809	68.5206	?	0	4.0	4.0	2.5	-13.7025	-11.6806	1.0	140.25	0.051101677	0.0	0.75	0.0	0.33333334	0.0	0.0	1.0	0.0	0.0	
0.7815959741	0.8310871767	2	0.5184874447	0.4894312639	0.6696332513	0.8095238095	0.9615384615	0.7368421053	0.7518809406	0.6224685209	0.653586798	0.1907668232	0.2448143428	0.3276060388	0.2522461567	0.3406150141	0.4330165026	575.305	0.6593849859	642.818	130.17	128.605	59.9669	?	430.176	502.748	433.091	100.068	105.601	49.8891	?	423.28	395.901	428.981	104.484	104.963	49.3045	?	0	18.0	15.0	3.2222223	-41.6504	-37.6535	1.0	444.22223	0.029392025	0.0	1.0	0.0	0.88235295	0.0	0.625	1.0	2.0	2.0	
0.9208561853	0.9118956118	2	0.5587678497	0.3737410606	0.5347148269	0.7333333333	1	0.7333333333	0.8004480135	0.700127506	0.8047253796	0.0976464978	0.1797493406	0.0976464978	0.2691935756	0.2555153047	0.2514943167	278.005	0.7677133593	269.686	84.9702	105.226	49.4831	?	215.596	288.783	200.794	66.9814	72.4241	34.7605	?	215.795	221.538	202.629	66.3383	71.6445	34.6394	?	0	28.0	26.0	4.357143	-53.432	-50.6488	1.0	297.32144	0.01919152	0.0	1.0	0.074074075	0.8148148	0.07692308	0.61538464	1.0	2.0	2.0	
0.8372161172	0.7502999967	4	0.4980545042	0.4382280903	0.6271287642	0.7142857143	0.9682539683	0.5365853659	0.6496116959	0.6323802031	0.7129233115	0.2739177489	0.273276127	0.2769230769	0.3746250041	0.3289402498	0.3953406593	2452.54	0.6916185158	305.849	55.0778	63.0501	28.5609	188.38	3660.59	207.76	267.45	47.3998	51.7796	29.0589	196.934	3551.74	240.76	265.681	47.1516	51.3601	28.8565	194.476	0	43.0	48.0	4.116279	-121.924	-108.451	1.2307693	141.55814	0.06099254	0.0	0.9302326	0.0	0.71428573	0.024390243	0.2195122	1.0	4.0	4.0	
0.7165153997	0.7653760602	2	0.4259092507	0.488160041	0.5022669668	0.8076923077	1	0.8076923077	0.6769173735	0.5951666763	0.6170463654	0.2386890951	0.2000263657	0.2386890951	0.2815487278	0.3091910568	0.3401815204	302.864	0.6908089432	1099	283.525	71.9698	59.4892	?	266.159	770.264	835.442	310.199	68.6013	70.2624	?	262.612	636.896	854.192	308.748	67.434	69.3643	?	0	19.0	17.0	4.263158	-36.5455	-44.5762	1.0	267.3158	0.020676387	0.0	0.7894737	0.0	0.5	0.05882353	0.1764706	0.7777778	2.0	2.0	
0.9031531532	0.8665229885	2	0.3813475102	0.5201432302	0.5085797826	0.7894736842	1	0.7647058824	0.767024396	0.6185946786	0.7737731586	0.0666666667	0.2744735215	0.0540540541	0.1779693487	0.355507383	0.2485321142	155.902	0.6633911404	216.207	83.1907	81.1174	58.0826	?	117.83	169.98	131.631	104.008	83.4886	57.1899	?	118.588	120.132	131.778	104.078	83.1332	56.8053	?	0	17.0	15.0	3.8235295	-34.6351	-29.2085	1.0	244.29411	0.019631281	0.0	0.9411765	0.0	0.75	0.0	0.46666667	0.9411765	2.0	2.0	
0.6415456755	0.6501565366	3	0.4832881338	0.5050260062	0.4862708131	0.75	1	0.75	0.5644986838	0.6075386059	0.5593321672	0.2386890951	0.2254051536	0.2386890951	0.3498434634	0.3503390127	0.3584543245	139.164	0.6496609873	383.609	147.509	90.8365	51.3123	?	182.685	514.247	458.454	132.195	75.0039	53.1421	?	180.196	460.008	454.188	130.321	73.6363	52.8334	?	0	15.0	12.0	3.5333333	-38.3014	-38.0801	1.0909091	308.13333	0.087994404	0.0	0.73333335	0.0	0.5	0.0	0.30769232	0.85714287	3.0	3.0	
0.6034444196	0.5856970872	3	0.596915081	0.4568834435	0.7336222322	0.7142857143	1	0.6666666667	0.4726061487	0.6992340319	0.4439629464	0.2713178295	0.1517811062	0.3235294118	0.3714543693	0.2282343031	0.3965555804	262.28	0.7717656969	177.698	99.8208	120.035	30.8088	?	228.368	246.305	237.654	110.16	115.592	44.8391	?	223.618	229.662	236.523	109.868	114.406	44.2772	?	0	15.0	15.0	3.0666666	-25.5654	-34.0187	1.25	189.8	0.027230132	0.0	0.8666667	0.0	0.78571427	0.0	0.6923077	0.9166667	3.0	3.0	
0.25	0.4985163205	0	0.5911673717	0.6007756133	0.875	?	1	?	0.4088326283	0.5322991823	0.25	0.6666666667	0.4285714286	0.6	0.5014836795	0.4376623377	0.75	710.136	0.5623376623	837.341	84.9671	223.228	116.804	?	654.237	672.528	806.525	77.0187	206.022	92.6219	?	636.959	665.472	794.533	76.0309	199.657	92.1544	?	0	7.0	6.0	4.428571	-21.5892	-13.6774	1.0	436.57144	0.16741441	0.0	0.71428573	0.0	0.33333334	0.0	0.2	1.0	0.0	0.0	
0.8939873418	0.8907502072	4	0.5114702649	0.4633306718	0.6329456038	0.7	0.84	0.5	0.840784691	0.6306378238	0.8459915612	0.2097264438	0.1717857288	0.2120253165	0.2289997237	0.3124755339	0.2310126582	376.508	0.6875244661	339.368	90.7309	111.586	44.0367	?	392.988	314.982	607.436	105.492	90.0111	40.5059	?	387.793	476.773	604.522	104.897	89.2318	40.256	?	0	18.0	17.0	3.0555556	-50.8789	-47.5883	1.0625	256.77777	0.03309924	0.0	0.8888889	0.0	0.7058824	0.0625	0.375	0.9444444	2.0	4.0	
0.9193548387	0.935483871	2	0.5072580645	0.4344518168	0.3306451613	0.4705882353	0.7826086957	?	0.823655914	0.6128476641	0.7795698925	0.1290322581	0.1953156549	0.3125	0.264516129	0.301742594	0.1612903226	1980.92	0.6638690827	768.609	145.655	171.951	49.3531	1031.22	1537.76	1050.67	784.612	159.981	163.833	40.749	960.113	1516.45	1018.81	780.261	157.973	161.309	40.7879	945	0	17.0	16.0	4.2941175	-54.5126	-51.1173	1.0666667	217.23529	0.06534507	0.0	0.88235295	0.0625	0.625	0.0	0.26666668	1.0	2.0	2.0	
0.8399341133	0.8897753492	3	0.4732742525	0.422083362	0.4897639222	0.5714285714	0.9677419355	0.5813953488	0.8072636668	0.6496692835	0.737102906	0.1371159684	0.1658244356	0.1371159684	0.2150304257	0.2717871536	0.2271156951	5326.65	0.7282128464	562.394	102.685	116.563	38.8379	350.976	4304.82	441.645	429.822	99.6052	100.249	35.5922	271.719	4296.99	337.11	426.406	99.1579	100.092	35.3363	268.024	0	40.0	37.0	3.95	-120.341	-98.3106	1.1935484	200.525	0.10256873	0.0	0.9	0.025641026	0.64102566	0.078947365	0.23684211	0.9705882	3.0	3.0	
0.709181464	0.7395382395	3	0.5060347129	0.4183759324	0.3804677349	0.6956521739	0.9666666667	0.6086956522	0.6596921597	0.7011587024	0.6394543093	0.1547619048	0.1803000652	0.1428571429	0.2604617605	0.2287388774	0.2215716888	5573.32	0.7998534822	184.947	76.7888	93.1659	38.2163	220.057	3337.05	207.177	192.055	63.809	68.6275	29.2856	196.504	3358.18	197.559	190.283	68.2206	72.9351	29.1592	194.059	0.04347826	23.0	24.0	4.0	-56.0671	-50.0722	1.0909091	206.0	0.052331198	0.04347826	0.95652175	0.045454547	0.77272725	0.04761905	0.2857143	1.0	3.0	3.0	
0.7837797619	0.7425198564	0	0.4692142797	0.4420433307	0.4844929453	0.8181818182	0.96	0.7619047619	0.7172354598	0.7009991395	0.6991865079	0.2292460015	0.1428804073	0.1645833333	0.2726507816	0.2259616081	0.2162202381	316.602	0.7740383919	203.477	156.249	80.5409	35.2823	?	211.961	339.607	114.272	131.007	66.9583	28.0332	?	210.179	236.166	113.973	130.679	66.5227	28.4391	?	0	21.0	21.0	3.857143	-55.1203	-58.2339	1.05	415.85715	0.08648859	0.0	0.8095238	0.05	0.6	0.0	0.31578946	0.9	0.0	0.0	
0.4814814815	0.4814814815	0.6363636364	?	0.3727071275	?	?	0.8181818182	?	0.25	0.7388313341	0.25	0.6363636364	0.2875318066	0	0.5185185185	0.3223373319	0.3636363636	358.639	0.7851084454	376.02	337.013	371.087	65.8608	?	226.691	479.171	260.694	192.038	193.243	45.954	?	222.267	225.717	257.591	204.533	210.114	45.6167	?	0.083333336	12.0	13.0	4.0833335	-46.6337	-37.1658	1.0833334	140.08333	0.050962687	0.083333336	0.9166667	0.0	0.45454547	0.0	0.0	1.0	0.0	0.0	
0.8737541696	0.9194120372	3	0.3519937485	0.3592133749	0.3619050544	0.5918367347	0.9402985075	0.5714285714	0.8287051595	0.7107264408	0.784225067	0.1040510865	0.2028088188	0.1040510865	0.1587326684	0.2482905281	0.1683277738	580.624	0.76722763	150.349	56.2818	59.9106	16.049	125.791	507.853	129.237	126.674	47.0699	50.0211	13.5953	116.252	502.663	114.494	128.957	47.0848	50.0049	13.5651	118.052	0	43.0	46.0	4.255814	-92.5462	-97.5068	1.2777778	172.69768	0.020235278	0.0	1.0	0.04761905	0.8095238	0.024390243	0.4878049	1.0	3.0	3.0	
0.8450969636	0.8561554713	0	0.3826574057	0.3365718855	0.3944516649	0.65	0.962962963	0.65	0.7688577459	0.7235082422	0.7536964832	0.1290322581	0.1888888889	0.1290322581	0.191792705	0.2254775221	0.2065373818	2549.52	0.7613618324	67.3053	44.6667	47.3809	20.51	74.134	3180.64	70.02	100.342	47.114	48.5044	19.4972	100.098	4070.48	102.054	100.052	46.7642	48.1239	19.453	99.0607	0	17.0	19.0	4.882353	-42.3726	-34.1724	1.117647	155.23529	0.014831359	0.0	1.0	0.0	0.875	0.13333334	0.26666668	1.0	0.0	0.0	
0.8557923996	0.8993802	2	0.4027260444	0.4485415402	0.4164911155	0.8461538462	0.8928571429	0.76	0.8381886358	0.7467131597	0.808601714	0.1374600407	0.1575878727	0.1330542124	0.1598741948	0.2154449996	0.2054576004	5418.91	0.7962665481	230.713	157.045	164.696	29.6823	209.622	2779.44	191.768	113.498	70.7762	63.0733	21.1131	83.1388	2653.66	89.7362	114.663	70.7253	62.3805	20.9767	83.6993	0	24.0	27.0	4.25	-47.4762	-52.7088	1.08	255.75	0.021532154	0.0	0.9166667	0.0	0.73913044	0.0	0.5	0.95454544	2.0	2.0	
0.9080130825	0.8992959855	5	0.4896243251	0.4278345814	0.5024211727	0.7321428571	0.9420289855	0.6603773585	0.7702212398	0.732346495	0.7917740744	0.1459018524	0.1646976873	0.1319705643	0.2768405619	0.2271545671	0.2435620365	8507.01	0.81893657	198.684	47.7619	48.5096	20.1525	154.925	11622.4	156.376	201.03	47.1204	44.9008	19.0093	151.709	11212.7	150.905	203.124	47.2833	44.8959	19.1235	150.59	0	54.0	55.0	4.351852	-132.725	-132.975	1.3414634	233.16667	0.031397335	0.0	0.962963	0.0	0.754717	0.03846154	0.3653846	0.97619045	6.0	5.0	
0.806537095	0.7834605265	3	0.4709841783	0.5315451157	0.4514909661	0.9393939394	0.9375	0.8275862069	0.6797694505	0.6068272061	0.722973877	0.1912789871	0.2881528139	0.1799914034	0.247473684	0.3410298371	0.2490184606	15740.5	0.6764767803	148.8	55.5512	57.8388	40.9333	111.467	21673.5	104.95	150.157	51.263	51.0951	36.0406	89.7234	21798.4	96.9145	149.123	50.6994	50.3892	36.2954	89.0784	0	23.0	20.0	3.173913	-45.0946	-37.3596	1.1111112	409.82608	0.02437387	0.0	0.95652175	0.0	0.90909094	0.0	0.71428573	1.0	4.0	3.0	
0.7685604952	0.7657983393	0	0.3629693582	0.338589101	0.3644548074	0.9473684211	0.9473684211	0.9473684211	0.7061385987	0.7392267352	0.7081115672	0.1585526316	0.1028622775	0.1647084109	0.2067732399	0.1752186787	0.2115216033	416.438	0.7995510844	452.772	115.064	235.424	108.476	?	405.307	375.828	527.199	110.821	229.363	94.175	?	397.494	374.751	524.182	108.488	222.951	93.7963	?	0	12.0	10.0	3.5833333	-26.7063	-18.9688	1.0	298.58334	0.014292896	0.0	1.0	0.0	0.8181818	0.0	0.5	1.0	0.0	0.0	
0.7429487689	0.819092289	2	0.347802553	0.4363653953	0.5019023944	0.9090909091	1	0.9090909091	0.7497054356	0.6125172527	0.6593331369	0.2037878331	0.2513644102	0.2785744965	0.2494727291	0.3267179304	0.3609997263	6516.27	0.6630967197	137.113	70.9614	68.2518	26.9266	136.963	5918.45	127.788	85.0804	32.0484	31.3447	22.0412	63.3713	5713.28	65.4097	84.7255	31.7708	30.9537	21.8587	63.2228	0	22.0	20.0	3.8636363	-40.8926	-34.1066	1.0526316	409.27274	0.028657371	0.0	1.0	0.04761905	0.9047619	0.0	0.45	1.0	2.0	2.0	
0.7166604816	0.7349608966	5	0.4031837793	0.4016120331	0.4269246023	0.8	0.9565217391	0.8	0.6735327387	0.6385806662	0.6559133958	0.1542752512	0.2719913738	0.1542752512	0.2650391035	0.308438834	0.2833395184	2463.76	0.6743401874	333.563	64.8418	73.6682	48.5871	242.035	3233.49	241.922	289.652	64.8197	72.4873	44.6995	198.468	3203.95	210.39	286.701	64.1682	71.6895	45.1525	195.665	0	18.0	20.0	4.0555553	-49.4299	-48.3285	1.25	186.22223	0.03630684	0.0	0.9444444	0.05882353	0.7647059	0.0	0.3125	1.0	5.0	5.0	
0.8666666667	0.86875	2	0.190625	0.2216183575	0.1916666667	?	?	?	0.809375	0.7783816425	0.8083333333	0.6666666667	0.6666666667	0.6666666667	0.13125	0.193236715	0.1333333333	284.458	0.806763285	254.299	208.519	206.228	91.7079	?	357.484	268.897	329.335	246.703	243.435	102.819	?	347.82	239.678	324.436	241.092	235.631	102.366	?	0	8.0	7.0	3.375	-18.0943	-13.6311	1.0	179.875	0.009303434	0.0	1.0	0.0	1.0	0.0	0.6666667	1.0	3.0	2.0	
0.9117647059	0.8011695906	5	0.7040935673	0.6608834165	0.7454481793	0.6153846154	0.9487179487	0.4583333333	0.7140350877	0.4429196443	0.8161764706	0.298245614	0.3579152649	0.1764705882	0.4081871345	0.4341648135	0.4060457516	1623.42	0.5658351865	261.191	104.473	111.876	38.4141	193.485	1735.78	199.593	270.798	82.601	89.0296	28.6983	181.699	1668.18	196.876	268.839	81.6851	88.2406	28.3419	179.281	0	26.0	27.0	4.0384617	-59.9823	-60.9263	1.08	238.84616	0.049830146	0.0	1.0	0.0	0.68	0.041666668	0.33333334	1.0	4.0	5.0	
