1-edinburgh	2-edinburgh	3-edinburgh	4-edinburgh	5-edinburgh	6-edinburgh	7-edinburgh	8-edinburgh	9-edinburgh	10-edinburgh	11-edinburgh	12-edinburgh	13-edinburgh	14-edinburgh	15-edinburgh	16-edinburgh	17-edinburgh	18-edinburgh	19-edinburgh	20-edinburgh	21-edinburgh	22-edinburgh	23-edinburgh	24-edinburgh	25-edinburgh	26-edinburgh	27-edinburgh	28-edinburgh	29-edinburgh	30-edinburgh	31-edinburgh	32-edinburgh	33-edinburgh	34-edinburgh	35-edinburgh	36-edinburgh	37-edinburgh	38-edinburgh	39-edinburgh	40-edinburgh	41-edinburgh	42-edinburgh	43-edinburgh	44-edinburgh	45-edinburgh	46-edinburgh	47-edinburgh	48-edinburgh	49-edinburgh	50-edinburgh	51-edinburgh	52-edinburgh	53-edinburgh	54-edinburgh	55-edinburgh	56-edinburgh
1.8787878788	2.1818181818	2.2727272727	2.303030303	1.9428571429	2.4571428571	2.6285714286	2.6571428571	0.1756380122	6.46969578604e-06	0.71875	0.0047037337	0.61745	0.0052595606	0.705882	0.0078144917	0.1889117043	0.0059169831	0.7678643261	0.0955350246	3	1	1	0	0	0	1	1	0	0	7	0	2	1	1	0	0	0	1	1	0	0	6	0	0	0	1	0.0625	1	0.90625	0	0	1	0.03125	0.8258934111	0.0504485611
1.8333333333	2.3333333333	2.4166666667	2.4166666667	1.9166666667	2.5833333333	2.8333333333	2.8333333333	0.2018300703	0.0003622857	0.636364	0.0541191814	0.482143	0.0489280914	0.545455	0.1151844941	0.0574948665	0.0750657171	0.7173410696	0.0579328154	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.9090909091	0	0	1	0.0909090909	0.7260023945	0.0335307562
1.9473684211	2.7894736842	3.3157894737	3.6315789474	1.9444444444	2.7222222222	3.2777777778	3.5555555556	0.4848605064	0.0338897942	0.555556	0.0215764481	0.448718	0.025705531	0.529412	0.0515838204	0.0780287474	0.0442641801	0.6200633534	0.0549317294	2	0	1	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0.7844417218	0.0356626134
1.9545454546	2.5909090909	2.8636363636	2.9545454546	2	2.88	3.32	3.56	0.1939234593	0.0031418835	0.666667	0.0147094651	0.544554	0.0145983323	0.666667	0.0238599906	0.1314168378	0.0151141214	0.7430497574	0.0791805138	1	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.8395326401	0.0454789402
1.9473684211	2.6842105263	2.8947368421	2.9473684211	1.95	2.7	3	3.05	0.0949106737	0.0001683591	0.666667	0.023288861	0.512195	0.0234043946	0.684211	0.0416197715	0.1067761807	0.0310545248	0.7891455316	0.0789538807	1	0	1	0	0	0	0	0	2	0	4	0	1	0	1	0	0	0	0	0	2	0	4	0	0	0	0	0	1	1	0	0	0	0	0.8293892975	0.0422792744
1.7142857143	1.8571428571	1.8571428571	1.8571428571	1.8181818182	2.3636363636	2.6363636364	2.7272727273	0.6117686731	0.2323089869	0.666667	0.1342630331	0.553191	0.06689193	0.6	0.1315773803	0.0657084189	0.0574738353	0.6734550822	0.0508896755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.7206070305	0.0323263095
1.5384615385	1.8461538462	2.0769230769	2.2307692308	1.75	2.375	2.6875	2.875	0.043406514	1.14728973728e-06	0.583333	0.0447410646	0.590361	0.0244284968	0.6	0.0627732838	0.1149897331	0.0257149077	0.8149389648	0.0718085788	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0.5	1	0.3333333333	1	0.1666666667	0.6353352712	0.0256589572
2	2.8	3.2666666667	3.6	2	2.7333333333	3.2	3.4666666667	0.3944694818	0.0410966767	0.571429	0.0352451406	0.516129	0.0396579008	0.642857	0.0756869239	0.0739219713	0.0484463508	0.6549010511	0.0621217721	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.6395926579	0.0369691146
1.6	1.8	1.8	1.8	1.7272727273	2.0909090909	2.1818181818	2.1818181818	0.1982324609	0.0010358402	0.666667	0.0789035677	0.530612	0.0622116383	0.7	0.1368210982	0.0595482546	0.0754101823	0.8717135647	0.0687506257	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.8651652287	0.0399409341
1.8461538462	2.1538461539	2.2307692308	2.2307692308	1.90625	2.53125	2.6875	2.75	0.2100771754	6.46653746463e-05	0.72	0.0095548951	0.620438	0.0063929311	0.677419	0.0093188817	0.1889117043	0.0078160203	0.8063865002	0.0942013572	4	0	1	0	0	0	0	0	0	0	5	0	4	0	1	0	0	0	0	0	0	0	5	0	1	0.04	1	0.08	1	0.88	0	0	0	0	0.8701485617	0.0486159961
1.8	2.2	2.4	2.4	1.8	2.2	2.4	2.4	0.1078089807	0.0002854692	0.5	0.2159224873	0.538462	0.3509434376	0.75	0.449021992	0.0102669405	0.6115795668	0.5127984778	0.0332911234	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0.25	0	0	1	0.75	0	0	0	0	0.7475385481	0.0223682293
1.9473684211	2.6315789474	3.052631579	3.1578947368	1.9375	2.5625	2.75	2.75	0.0230899285	0.0001573964	0.555556	0.0206137785	0.52	0.0277862432	0.666667	0.065822717	0.090349076	0.0409112773	0.7711243231	0.0724518034	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.8376016337	0.0386853824
2	2.7586206897	3.1724137931	3.3793103448	1.962962963	2.6666666667	3.1111111111	3.2962962963	0.25707494	0.0004321697	0.678571	0.0063198121	0.536913	0.0041601661	0.692308	0.0199831675	0.1765913758	0.00732606	0.7041811223	0.0874327746	1	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.7431723058	0.0451888461
1.7727272727	2.1136363636	2.25	2.25	1.9387755102	2.5102040816	2.8571428571	3	0.0960218218	1.95137569136e-06	0.72093	0.0016388116	0.60274	0.0008615629	0.75	0.0019851985	0.3511293635	0.0004888745	0.8015391005	0.1179579126	3	0	1	0	0	0	0	0	0	0	4	0	3	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0.023255814	1	0.976744186	0	0	0	0	0.8329461488	0.0625876228
1.65	2	2.1	2.15	1.6111111111	1.8333333333	1.9444444444	2	0.1131894029	7.46978161938e-05	0.631579	0.018279693	0.625	0.0148453919	0.647059	0.0515050213	0.1293634497	0.0215824116	0.8182805837	0.0834311804	1	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	2	0	1	0.0526315789	0	0	1	0.8421052632	0	0	1	0.1052631579	0.8631917154	0.0367958806
1.8888888889	2.4444444444	2.7777777778	2.8888888889	1.875	2.5	2.9375	3.0625	0.3600002609	0.0681803428	0.588235	0.0244187655	0.481481	0.025100109	0.533333	0.0680738623	0.0739219713	0.0372451256	0.7528363721	0.072250615	1	0	2	1	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0.8823529412	0	0	1	0.1176470588	0.8177316036	0.0398921609
1.625	2.125	2.4375	2.5625	1.6923076923	2.1538461539	2.3846153846	2.4615384615	0.2179200319	0.000265067	0.6	0.0305670662	0.522388	0.0351734951	0.416667	0.0938689065	0.0595482546	0.0801808483	0.7781417048	0.0627688384	2	0	1	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	3	0	1	0.0666666667	0	0	1	0.9333333333	0	0	0	0	0.7557417643	0.0295913322
2	2.75	3.1875	3.375	2	2.75	3.25	3.5625	0.1556439231	0.0005668238	0.6	0.0279388004	0.516667	0.0427515996	0.666667	0.0650656195	0.0780287474	0.0351028727	0.7744748368	0.0663677357	2	0	1	0	0	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0.8740236768	0.0373310647
1.75	2.125	2.375	2.5	1.8571428571	2.4285714286	2.7142857143	2.7142857143	0.3405379473	0.031878185	0.428571	0.1058142902	0.486486	0.093831501	0.5	0.2654287397	0.0205338809	0.2172307499	0.7313061543	0.0476025606	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.7394239353	0.0296756407
1.9473684211	2.6315789474	2.8947368421	2.9473684211	1.8333333333	2.2777777778	2.5	2.5555555556	0.0188933818	7.64548798152e-08	0.611111	0.0222827509	0.569444	0.0309608971	0.705882	0.0559705986	0.0800821355	0.0484762099	0.7907213602	0.0770039762	1	0	1	0	0	0	0	0	0	1	3	0	1	0	1	0	0	0	0	0	0	0	4	0	1	0.0555555556	0	0	1	0.9444444444	0	0	0	0	0.8138701105	0.0383926664
1.7222222222	2.1111111111	2.2777777778	2.3333333333	1.7058823529	2.0588235294	2.1764705882	2.1764705882	0.1303584316	1.67107269758e-05	0.647059	0.0235616587	0.58427	0.0199155681	0.625	0.0577458156	0.1088295688	0.0297613554	0.7293347407	0.0674232545	1	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0.9411764706	1	0.0588235294	0	0	0.8377543304	0.0405329577
1.7857142857	2.1904761905	2.3333333333	2.380952381	1.8157894737	2.1578947368	2.3157894737	2.3684210526	0.0716645145	3.8714118662e-07	0.780488	0.0017189403	0.635	0.0012894082	0.72973	0.0055123509	0.2546201232	0.0028580565	0.7697693791	0.1068782068	2	0	1	0	1	1	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0.9743589744	1	0.0256410256	0	0	0.8223752519	0.0563020251
1.9166666667	2.4166666667	2.6666666667	2.75	1.92	2.64	3	3.2	0.1382220807	1.49789540576e-06	0.608696	0.0113893017	0.587719	0.0109262034	0.666667	0.0233889872	0.1663244353	0.0111569795	0.7599558666	0.0873816526	2	0	1	0	0	0	0	0	0	1	4	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0.8418230256	0.0463294718
1.7272727273	2.2727272727	2.4545454546	2.5	1.7272727273	2.1818181818	2.4545454546	2.5909090909	0.0254619983	1.02445990167e-07	0.619048	0.014734224	0.601942	0.0149351555	0.714286	0.0335025752	0.1232032854	0.0217900679	0.8244677678	0.0879773921	0	0	1	0	1	1	0	0	0	0	4	0	0	0	1	0	1	1	0	0	0	0	4	0	1	0.1052631579	0	0	1	0.7894736842	1	0.0526315789	1	0.0526315789	0.8641102426	0.0460180087
1.8461538462	1.9230769231	1.9230769231	1.9230769231	1.7857142857	2.2857142857	2.5	2.5	0.2861615395	0.0004563705	0.75	0.0506798153	0.6	0.0450223254	0.692308	0.0939311398	0.0841889117	0.0427394671	0.7754435901	0.0718568208	0	0	0	1	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0.9166666667	0	0	1	0.0833333333	0.7571313051	0.0394259919
1.9545454546	2.5909090909	2.9090909091	3	1.914893617	2.5106382979	2.8085106383	2.914893617	0.1285744329	5.04075409818e-08	0.744186	0.0011751456	0.604444	0.0004773411	0.717391	0.0020263889	0.3367556468	0.0003520657	0.7221844821	0.1021924786	2	0	1	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0.7730316906	0.0528912461
2	2.6111111111	2.6666666667	2.6666666667	2	2.75	3.2	3.4	0.3285981709	0.0027064833	0.705882	0.0241443922	0.535354	0.0151901849	0.631579	0.0413762109	0.1211498973	0.0174700025	0.6791791952	0.0724294566	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.6587133756	0.0385594308
1.92	2.4	2.64	2.76	1.8928571429	2.6071428571	3.0714285714	3.2142857143	0.1380631407	9.43745254286e-05	0.666667	0.0102767285	0.576	0.0084920994	0.666667	0.0173205659	0.1704312115	0.0104848788	0.7555352716	0.0894749857	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0.9166666667	0	0	1	0.0833333333	0.7734395541	0.0448115456
1.8545454546	2.3636363636	2.5272727273	2.5818181818	1.8571428571	2.3928571429	2.5892857143	2.7142857143	0.0242353434	1.65523456086e-08	0.796296	0.0006356275	0.642361	0.0003051543	0.781818	0.0014976294	0.4004106776	0.0003781245	0.7915228068	0.1219488724	5	0	2	1	0	0	0	0	2	1	9	0	4	0	2	0	0	0	0	0	2	0	8	0	0	0	0	0	1	0.9814814815	0	0	1	0.0185185185	0.8372183752	0.0654380245
1.9166666667	2.7083333333	3.3333333333	3.5833333333	2	2.6666666667	2.9047619048	3	0.2204950365	0.0029282814	0.608696	0.0116350897	0.536842	0.0164718331	0.65	0.0362099489	0.1190965092	0.0236418735	0.7392431306	0.0752200647	3	0	1	0	0	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0.7761760435	0.0407656294
2	2.7692307692	3.2307692308	3.3076923077	1.9090909091	2.5454545455	2.9090909091	3.0909090909	0.1937137046	0.0229276074	0.5	0.0457944417	0.481481	0.0504997935	0.6	0.1327311594	0.0533880903	0.0842240386	0.7078887775	0.0568374267	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.7803953772	0.0300537088
2	2.7391304348	3.1739130435	3.3043478261	2	2.9047619048	3.1904761905	3.2380952381	0.3003647568	0.0043624477	0.636364	0.0128559267	0.556604	0.012503778	0.7	0.0366084213	0.1293634497	0.0151200932	0.7041009605	0.0789552716	1	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.7696073789	0.0419694966
1.9473684211	2.4210526316	2.5263157895	2.5789473684	1.9523809524	2.5714285714	2.9523809524	3.1428571429	0.1744257046	0.0002158204	0.722222	0.0210018174	0.577778	0.0192790434	0.7	0.0366809523	0.1314168378	0.0172091427	0.7477943912	0.0710312288	2	0	1	0	0	0	0	0	0	0	4	0	2	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0.745314232	0.0429604257
2	2.6666666667	2.7777777778	2.7777777778	2	2.875	3.25	3.375	0.4135557184	0.0850503969	0.625	0.0846451479	0.5	0.1037229061	0.571429	0.2156832203	0.0266940452	0.1635969817	0.4095958549	0.0376140357	2	0	1	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.6593489403	0.0258122409
1.962962963	2.4074074074	2.6296296296	2.6666666667	1.8928571429	2.4642857143	2.75	2.8214285714	0.1324600745	1.40351128086e-06	0.730769	0.0091875636	0.607692	0.00779748	0.740741	0.0173313112	0.1745379877	0.0079446858	0.756853669	0.0936617478	1	2	2	0	0	0	1	2	0	2	4	0	2	2	1	0	0	0	1	2	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0.8186042698	0.0515584026
1.8666666667	2.4	2.6333333333	2.7	1.9642857143	2.5357142857	2.7857142857	2.8571428571	0.1525547218	2.30094395802e-05	0.724138	0.0062522879	0.615942	0.006271918	0.703704	0.0175475608	0.1457905544	0.0143453859	0.6919682169	0.0877855909	2	1	1	0	0	0	1	1	0	1	5	0	2	1	1	0	0	0	1	1	0	0	5	0	0	0	0	0	1	1	0	0	0	0	0.7532286148	0.0490421177
1.9166666667	2.4166666667	2.5833333333	2.6666666667	1.8965517241	2.6206896552	3.1724137931	3.5172413793	0.3502068824	0.0014285297	0.695652	0.0118356364	0.570248	0.0088958259	0.678571	0.0152489571	0.1704312115	0.0092044674	0.6890901689	0.0802083179	2	0	1	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0.9565217391	0	0	1	0.0434782609	0.7071134827	0.0431829931
1.8717948718	2.4615384615	2.6666666667	2.6923076923	1.8888888889	2.5	2.7222222222	2.7222222222	0.0748590232	3.77846284859e-07	0.736842	0.0025127994	0.62234	0.0018802122	0.771429	0.0088631009	0.2566735113	0.0028727146	0.7846617957	0.1116269183	2	0	1	1	1	1	0	0	0	1	4	0	2	0	1	0	1	1	0	0	0	0	4	0	0	0	0	0	1	1	0	0	0	0	0.8007447566	0.0571498496
1.9655172414	2.4827586207	2.6896551724	2.7586206897	1.9696969697	2.696969697	3.0606060606	3.2727272727	0.2420251668	6.77827591414e-06	0.714286	0.0070697806	0.590604	0.0050791945	0.6875	0.0094554369	0.2258726899	0.003563545	0.7093456672	0.0918235615	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.8024151056	0.0523346864
1.8333333333	2.25	2.2916666667	2.2916666667	2	2.625	2.9166666667	3	0.1149742123	0.0007734607	0.695652	0.0128147369	0.547619	0.0078658514	0.695652	0.0273472957	0.135523614	0.0162484948	0.7687564342	0.0872577801	0	0	1	0	1	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.8319255739	0.0502208183
1.75	2.1666666667	2.4166666667	2.5833333333	2	2.75	3.0833333333	3.1666666667	0.4194846429	0.1471391081	0.636364	0.052835637	0.511111	0.0679307131	0.454545	0.1088993753	0.0410677618	0.1087939865	0.7157817238	0.0568885765	1	0	1	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.789312849	0.0353565852
1.7894736842	2.2368421053	2.3421052632	2.3421052632	1.8717948718	2.4102564103	2.6153846154	2.6666666667	0.109232585	2.47727637102e-08	0.72973	0.0026527995	0.608466	0.0021891416	0.736842	0.0046213845	0.2669404517	0.0027182617	0.7829734674	0.1066125976	2	0	1	0	2	1	0	0	0	0	8	1	2	0	1	0	0	0	0	0	0	0	6	1	0	0	1	0.0303030303	1	0.9090909091	1	0.0606060606	0	0	0.8005258699	0.0531660096
1.9130434783	2.6086956522	3.0869565217	3.3913043478	1.875	2.5833333333	3	3.1666666667	0.5064540916	0.0442312262	0.590909	0.0123242864	0.542373	0.0093591153	0.608696	0.0260202483	0.1252566735	0.0174898181	0.7110174674	0.07684163	1	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.8108562635	0.0444065007
1.9285714286	2.5	2.7857142857	2.9285714286	1.9375	2.6875	3.25	3.5	0.2551986187	7.83778355102e-05	0.615385	0.0395702888	0.508475	0.0453459359	0.533333	0.0632595097	0.0657084189	0.0476450418	0.60417167	0.0536915639	1	1	1	0	0	0	1	1	0	0	4	1	1	1	1	0	0	0	1	1	0	0	4	1	0	0	0	0	1	0.9230769231	1	0.0769230769	0	0	0.4213656269	0.0273723473
1.8571428571	2.4761904762	2.7142857143	2.8095238095	1.9565217391	2.652173913	3.1739130435	3.4782608696	0.1536380378	0.0004543002	0.6	0.0160063793	0.558559	0.0122072225	0.681818	0.0280466372	0.1293634497	0.0188142038	0.7063754695	0.0790777692	2	2	2	0	0	0	1	2	0	0	6	0	3	2	1	0	0	0	1	2	0	0	6	0	0	0	0	0	1	0.95	1	0.05	0	0	0.7915745375	0.0431761673
2	2.9090909091	3.5454545455	4	2	3	3.8181818182	4.3636363636	0.4258892218	0.1652426616	0.3	0.0598178162	0.25	0.0696611795	0.3	0.1290948972	0.0390143737	0.0853239384	0.6966444025	0.0528006661	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.711022552	0.0300396761
1.8918918919	2.4864864865	2.7027027027	2.7837837838	1.8837209302	2.511627907	2.8837209302	3.023255814	0.2509568269	6.75555279086e-06	0.694444	0.0022757896	0.618557	0.001468516	0.714286	0.0034903049	0.3100616016	0.0006039677	0.740697639	0.1007171906	2	0	1	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0.7870780531	0.0554345804
2	2.6875	3	3.1875	2	2.8	3.2666666667	3.5333333333	0.2143339153	0.0016481736	0.6	0.0310291566	0.5	0.0353758827	0.571429	0.0792337761	0.0739219713	0.0433871376	0.6527370572	0.0587091872	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0.7178015557	0.0343077969
1.85	2.35	2.6	2.7	1.8947368421	2.4736842105	2.7894736842	2.8421052632	0.1590602226	0.0004538218	0.578947	0.0188822337	0.528736	0.0207121153	0.666667	0.0462259335	0.1252566735	0.0220642285	0.8094150029	0.0763055455	2	0	1	0	0	0	0	0	0	1	3	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0.9473684211	0	0	1	0.0526315789	0.83857522	0.0406822125
2	2.6785714286	3.0357142857	3.1785714286	1.962962963	2.7407407407	3.1851851852	3.4074074074	0.3368687353	0.0032023241	0.62963	0.0068931148	0.582734	0.0052952144	0.615385	0.0176088987	0.1498973306	0.0122742518	0.7175249222	0.0804098311	2	0	1	1	0	0	0	0	0	1	3	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0.6813805502	0.0405079435
