1-tcd	2-tcd	3-tcd	4-tcd	5-tcd	6-tcd	7-tcd	8-tcd	9-tcd	10-tcd	11-tcd	12-tcd	13-tcd	14-tcd	15-tcd	16-tcd	17-tcd	18-tcd	19-tcd	20-tcd	21-tcd	22-tcd	23-tcd	24-tcd	25-tcd	26-tcd	27-tcd	28-tcd	29-tcd	30-tcd	31-tcd	32-tcd	33-tcd	34-tcd	35-tcd	36-tcd	37-tcd	38-tcd	39-tcd	40-tcd	41-tcd	42-tcd	43-tcd
0.233531746	0.1661226241	0.3290123457	0.341091954	0.2545426207	0.7753623188	0.5103225823	0.2825459672	0.216572007	0.72	0.4527927816	0.4738386161	0.72	0.0104166014	0.0160084714	0.0443123504	0.0502402403	0.0004961477	0.0051665238	0.0352018224	0.0390827294	0.0338008025	0.0377108646	0.0050690051	0.037041814	0.2163690476	0.1522963739	0.3030864198	0.3497126437	0.6268115942	0.3695507318	0.2246256166	0.6566666667	0.6633333333	0.0129079266	0.014942815	0.0476850798	0.0515654418	0.003640241	0.0055540916	0.0393194829	0.0421131054	0.0003272636
0.1641203704	0.1107049516	0.2156944444	0.1572619048	0.1959079884	0.5086206897	0.3110589039	0.2114591774	0.2043378008	0.494047619	0.3480749448	0.3614153239	0.5291666667	0.0070811076	0.0137659446	0.009802385	0.014208935	0.0013636057	0.0065875322	0.0009777618	0.003324586	2.12332144926718e-05	0.0023092559	0.0060871698	0.0022615011	0.1653017241	0.103152613	0.2252525253	0.1876126126	0.6424731183	0.386981791	0.2024467165	0.6048387097	0.623655914	0.0085786678	0.0193831017	0.0066665828	0.0137946601	0.0008562242	0.0102351427	0.0002044704	0.004454137	0.0006059724
0.2261904762	0.1615477234	0.2613095238	0.3427777778	0.2716585267	0.8518518519	0.5520944483	0.3062895346	0.252690413	0.5555555556	0.4412790866	0.4635501658	0.5763888889	0.0026926403	0.0027745195	0.0529726719	0.0532769805	0.0010081306	0.0011105142	0.0530924566	0.053338995	0.0507661094	0.0509903847	0.0003751002	0.0495277032	0.1928571429	0.1072095831	0.4261904762	0.4766666667	0.7777777778	0.446597417	0.2734972158	0.8333333333	0.8472222222	0.0163638048	0.0163230799	0.0712508881	0.0712697397	0.0051091605	0.0050378369	0.0606777143	0.0605411668	0.0006609619
0.3404761905	0.2221893988	0.4403508772	0.5659090909	0.2801081504	0.6145833333	0.3136990055	0.3108626135	0.3297655593	0.7745098039	0.4625899931	0.4834764867	0.7843137255	0.0165531141	0.0229591596	0.0731148868	0.0866758906	0.0059754026	0.0099420784	0.0552676908	0.0623666308	0.047028716	0.0519848987	0.0089291313	0.0463771801	0.1426282051	0.0918583195	0.3736111111	0.475	0.5222222222	0.2796455797	0.2971144811	0.65625	0.6666666667	0.0106261692	0.0105440534	0.0722212987	0.0719562082	0.0011309612	0.0011139809	0.0552840302	0.0551314603	0.0002943713
0.1972222222	0.1379932959	0.3760869565	0.3923076923	0.2769272314	0.7083333333	0.4160685913	0.3072007329	0.2435197844	0.7083333333	0.4730015233	0.4951530072	0.7166666667	0.0162097427	0.0209777609	0.0567686969	0.0640065129	0.0018874273	0.004722379	0.0409155182	0.0443968771	0.0371702408	0.0397745383	0.0039655108	0.0389160792	0.27	0.1671905252	0.4134615385	0.4732142857	0.8560606061	0.493625649	0.263890211	0.8472222222	0.8541666667	0.0297888795	0.0298252555	0.0694892498	0.0696952308	0.0038090924	0.0037690933	0.0444499508	0.0444196509	0.0009060857
0.3048611111	0.1875426236	0.5583333333	0.2222222222	0.3225635881	0.7738095238	0.4201992947	0.3611817077	0.2284511221	0.84375	0.48328607	0.5061866435	0.859375	0.0161355743	0.0175649146	0.0104588106	0.011117003	0.0037681026	0.0041010555	0.0007916842	0.0009071781	1.47353098413007e-05	0.0001082321	0.0028672677	9.63721539577374e-05	0.1759615385	0.1105150628	0.45	0.2564393939	0.7444444444	0.4459293351	0.2513840404	0.7843137255	0.7941176471	0.0110081844	0.0118361467	0.0089960629	0.0095921394	0.0014790027	0.0017883509	0.0004592379	0.000586829	0.0011199578
0.1458333333	0.1122945496	0.4291666667	0.2908333333	0.1891720865	0.7916666667	0.6222299876	0.2014809812	0.1541764427	0.5104166667	0.3714642768	0.3854397791	0.5625	0.0005925874	0.000730373	0.0003244432	0.0004071423	0.0001388387	0.0002178897	0	3.64774782171549e-05	0	3.59716285601481e-05	0.0002413246	3.43996069881385e-05	0.1697916667	0.0902650701	0.4404761905	0.2297619048	0.6458333333	0.3100718429	0.2205217884	0.6388888889	0.6597222222	0.0148735795	0.0232622944	0.0088007514	0.0147017135	0.0040237599	0.0133715683	0.0015284957	0.00587314	0.0011499797
0.071875	0.0408166923	0.2061111111	0.2958333333	0.1527456959	0.2833333333	0.1540986775	0.1604046388	0.2528806456	0.3333333333	0.3176736112	0.3281097053	0.3820512821	0.0071108365	0.0164190679	0.0463226361	0.0593048355	0.0014378121	0.0136817859	0.0477449341	0.0588729949	0.0465951061	0.0575882355	0.0131040945	0.0549504699	0.475	0.2978418426	0.3905092593	0.4563596491	0.6602564103	0.3265212434	0.3277403556	0.6822916667	0.6958333333	0.0141749211	0.0402472968	0.0549261771	0.0843486418	0.0022152804	0.0291307162	0.048782922	0.0728241125	0.0010381899
0.575	0.3715280003	0.5941176471	0.6166666667	0.3631871402	0.9166666667	0.5157773651	0.4072918665	0.2870260591	0.8444444444	0.5236339325	0.5500614092	0.8444444444	0.0085701669	0.0134709329	0.0565057566	0.0666780098	0.0010356946	0.0046881275	0.0500859088	0.0567488488	0.0472095162	0.0522201565	0.0042207923	0.0497918106	0.4616666667	0.2884497053	0.5455882353	0.5708333333	0.8611111111	0.5038156717	0.2680133126	0.7666666667	0.7666666667	0.0075501448	0.0116803675	0.0569714027	0.0659608138	0.0012822766	0.005681596	0.0515021146	0.0567131917	0.0004990043
0.33125	0.2424229016	0.2352564103	0.1181547619	0.2775026126	0.7083333333	0.4111204675	0.3076683015	0.1404115737	0.4166666667	0.4255265013	0.4460527659	0.4333333333	0.0007625354	0.0008072893	0.0011068789	0.0011467601	1.98016945014697e-05	5.71354878895686e-05	0.0003222261	0.0003487059	0	1.69543753986513e-05	4.75376257747565e-05	1.64913900286232e-05	0.1361111111	0.0965272768	0.2863095238	0.1744047619	0.5625	0.399435305	0.1526980241	0.4375	0.4791666667	0.0004928894	0.0055377593	0.0001823161	0.003618275	0.0003048744	0.0079827468	4.03228751699965e-06	0.0036691697	0.0003535307
0.0924603175	0.0590608737	0.2428819444	0.275	0.159112527	0.402173913	0.2551225234	0.1675052304	0.2076297316	0.4318181818	0.3101228427	0.320280134	0.4848484848	0.0039052368	0.0094547026	0.0418513732	0.0472727097	0.0001689494	0.0079065924	0.0356994071	0.0402936218	0.0345597396	0.0387475169	0.0094115221	0.0377917319	0.1154320988	0.072570494	0.28	0.3471428571	0.5086206897	0.3182115742	0.2310617958	0.5595238095	0.5833333333	0.014123316	0.0197364107	0.0534140145	0.0595274924	0.0028360933	0.0104352678	0.037723464	0.0424047764	0.0008456932
0.1666666667	0.0884003496	0.4119047619	0.3729166667	0.1625831581	0.2916666667	0.1714170087	0.1645122561	0.2979184054	0.5	0.3448881794	0.3547328548	0.55	1.94884084954262e-05	0.013029793	0.0058595474	0.015716436	2.34444615096233e-05	0.0078891619	0.00655063	0.0114214248	0.0062760246	0.010593919	0.0079096245	0.009698164	0.1666666667	0.0914856726	0.4119047619	0.3729166667	0.2916666667	0.1812876501	0.2989823571	0.6333333333	0.6333333333	0.0007840872	0.016808463	0.0059080224	0.0175610025	0.0012009512	0.0117153274	0.0063309904	0.0126820063	0.00135813
0.3880952381	0.2732309862	0.3766666667	0.5189393939	0.3369335047	0.9375	0.5580367351	0.381013729	0.2653862046	0.7037037037	0.4944896328	0.5190490342	0.712962963	0.0169896262	0.0240367055	0.062008431	0.0750204271	0.0012881869	0.0079174593	0.0456349153	0.0521603754	0.0410678153	0.0462191888	0.006890002	0.043291968	0.2106060606	0.1530313433	0.3318627451	0.3671052632	0.7692307692	0.4808211469	0.2425057253	0.6555555556	0.6888888889	0.0069940523	0.0075820955	0.0544444992	0.0600400918	0.0012252174	0.0016529684	0.0476101996	0.049709911	0.0001461402
0.341	0.2108562083	0.4441666667	0.4575757576	0.3458309962	0.8209876543	0.4389011837	0.3887596966	0.2777494914	0.7962962963	0.5137765526	0.5377069505	0.8024691358	0.0285926854	0.0370038542	0.0613894201	0.0700648204	0.0063485091	0.0127948142	0.040601432	0.0459302056	0.0355340991	0.0399446013	0.0094012463	0.0377915345	0.1954545455	0.1227136971	0.4232142857	0.455	0.7222222222	0.4200420394	0.2722749063	0.7948717949	0.8012820513	0.0221457109	0.0277326021	0.0598011409	0.0675441455	0.0050365613	0.0107435466	0.0426341655	0.0477361735	0.0032439928
0.2102564103	0.1434725381	0.224127907	0.2393617021	0.2386001157	0.6443089431	0.3953030173	0.2611265216	0.1934627897	0.506097561	0.4173603644	0.4362742597	0.5426829268	0.0154317151	0.0153623998	0.0415832339	0.0416451869	0.0023510802	0.0023429195	0.0286137114	0.028583383	0.0270929098	0.0270790651	0.0005288048	0.0265603013	0.2125	0.1456749225	0.2802083333	0.3197115385	0.6811594203	0.4134636559	0.2059620252	0.6739130435	0.6793478261	0.0258489806	0.0256124865	0.0545508666	0.054361831	0.0031410457	0.0030988318	0.0296837848	0.0296095883	0.0009084371
0.22109375	0.157355023	0.1466269841	0.2097222222	0.2214569284	0.537037037	0.3077194401	0.2432900924	0.2005698016	0.3472222222	0.3654789118	0.380904683	0.3777777778	0.0035760179	0.0114067668	0.0370031026	0.0441549005	0.0005610883	0.0099330086	0.0373465071	0.0440430358	0.0371867561	0.0433077342	0.0113779743	0.0427642184	0.0625	0.0331491535	0.1429824561	0.2182539683	0.2722222222	0.1412038636	0.2002523248	0.318627451	0.3558823529	0.0060620923	0.0132451496	0.0414125864	0.0485579538	0.0006344509	0.010159702	0.040784777	0.0475936074	0.0007379236
0.2288888889	0.1461635817	0.4105263158	0.4576086957	0.2698839245	0.6666666667	0.3705352077	0.300923514	0.2719410964	0.5625	0.4492264723	0.469553679	0.5989583333	0.007291354	0.0090847086	0.0600554112	0.0647182754	0.001784937	0.0037040345	0.0461800508	0.0483817437	0.0415957026	0.0433541346	0.0037949455	0.0417281501	0.125	0.0670575842	0.4647058824	0.5381578947	0.5512820513	0.2937051952	0.2872122235	0.6333333333	0.6611111111	0.0113448918	0.0123727727	0.0640148286	0.0691620048	0.0027556981	0.0032251432	0.0529521295	0.0546260921	0.0022950165
0.1227272727	0.0763240182	0.3734375	0.4164473684	0.2356051641	0.5	0.2536202896	0.2604662465	0.2605186501	0.4523809524	0.358940041	0.3735017479	0.4880952381	0.0097738307	0.0157003347	0.0550060413	0.0647921693	0.0012272656	0.0080507574	0.0468447839	0.0551800885	0.0451383179	0.0519963077	0.0080575233	0.0499448861	0.05078125	0.0229115839	0.3580128205	0.4078125	0.2833333333	0.1269305878	0.2567637673	0.446969697	0.4848484848	0.0006205356	0.0070283635	0.0581705131	0.068563245	0.0004886695	0.0088403378	0.0497132985	0.0602412006	0.0005880752
0.3340909091	0.2104685856	0.403125	0.4881578947	0.3386493626	0.7051282051	0.3351825599	0.380524459	0.3143073084	0.6904761905	0.4863177207	0.5092901663	0.7083333333	0.0314199619	0.0326592162	0.0846052981	0.0916253621	0.0042245435	0.0044072182	0.0561243461	0.0587210998	0.0480416807	0.0496984469	0.002204057	0.0460831032	0.1727272727	0.1027950878	0.471875	0.5539473684	0.7051282051	0.4092633874	0.302471566	0.7023809524	0.7261904762	0.0141062121	0.0158041237	0.0695279893	0.0776850514	0.0023186536	0.0031279494	0.0546391146	0.0597194807	0.0013679532
0.1847222222	0.118986293	0.3733333333	0.4674242424	0.2581585017	0.7666666667	0.5022728997	0.2852977263	0.3011595826	0.5208333333	0.4591954831	0.4823707916	0.5416666667	0.0042018698	0.0147524915	0.0577292194	0.0748442163	1.83384729118516e-05	0.0109779274	0.0586522305	0.0745338874	0.0580731672	0.0711243192	0.0112735927	0.0672565254	0.21875	0.1434911286	0.4962962963	0.565	0.9166666667	0.5778270455	0.3197642083	0.619047619	0.6547619048	0.0008797137	0.0079270583	0.0649634322	0.0826889906	0.0007198565	0.0103453457	0.0686330655	0.0807048247	0.0008389937
0.3166666667	0.1963520033	0.3311403509	0.3956521739	0.313417018	0.7843137255	0.4322037515	0.353740687	0.2309118001	0.671875	0.478840244	0.5011777097	0.6927083333	0.0193830934	0.0215345339	0.0161368976	0.0175691369	0.0041454687	0.0044097396	0.0061242166	0.0065402766	0.0037219299	0.0038891804	0.0009318473	0.0034837371	0.1668269231	0.1161048885	0.2343137255	0.3180555556	0.5833333333	0.3137394858	0.2265025322	0.4777777778	0.5166666667	0.012269943	0.0124908324	0.0126346675	0.0134413227	0.0027391831	0.0028059067	0.0049985598	0.0052540366	0.0006342132
0.2026785714	0.1132947044	0.2208333333	0.3149621212	0.2368372299	0.484375	0.2469644454	0.2562372301	0.243794674	0.40625	0.4008697959	0.4155663895	0.4427083333	0.0020068508	0.0107053084	0.0455479058	0.0548000327	0.0007484697	0.0116152086	0.0411136304	0.0493663651	0.0405015376	0.0481514994	0.0133693518	0.0468629594	0.1239583333	0.0763338354	0.2081018519	0.2977083333	0.5297619048	0.3198890023	0.2369958959	0.4479166667	0.4947916667	0.0087626178	0.0091599408	0.0524300345	0.0558379889	0.0007805884	0.001305325	0.0456876842	0.0473694775	0.0008867378
0.1613175676	0.1066769073	0.1767276423	0.2203703704	0.2323082434	0.608974359	0.3702364279	0.2530580759	0.1849583061	0.4671052632	0.418538092	0.436638997	0.4978070175	0.01307091	0.015419047	0.0389250494	0.0415138727	0.0005478918	0.0032251435	0.0278686418	0.0297611496	0.0268355248	0.0284630704	0.0031178601	0.028237478	0.1058712121	0.0625422507	0.2165570175	0.2835365854	0.4880952381	0.2974576343	0.209170866	0.5023148148	0.5416666667	0.0123041826	0.0123435015	0.0440200717	0.0442300756	0.0033516256	0.0033337842	0.0331026335	0.0331792277	0.0002460026
0.1875	0.114193601	0.3048611111	0.375	0.2622363344	0.6818181818	0.4004750788	0.2911940177	0.2328256372	0.5476190476	0.4333630624	0.4522253189	0.5753968254	0.0162963381	0.0162744395	0.0542662302	0.0542785177	0.0106330574	0.0106412444	0.0436277946	0.0437629228	0.0415063067	0.0414853137	0.0104913749	0.039792047	0.1916666667	0.1267282464	0.435	0.4401785714	0.5303030303	0.3155620485	0.2526627135	0.7391304348	0.7536231884	0.0137154314	0.0185776249	0.0557495057	0.062018476	0.0014403583	0.007200164	0.0407125944	0.0459001097	0.0004662364
0.2183823529	0.1386710244	0.2519927536	0.2936666667	0.2610424746	0.5833333333	0.3055370022	0.2855795335	0.2072785944	0.5833333333	0.4332151717	0.4511632175	0.6125	0.0167569318	0.0172715055	0.0473624824	0.048632587	0.0019173658	0.0020348951	0.0394120182	0.0403584723	0.0371236832	0.0377154289	6.73228634344495e-05	0.0365448303	0.162254902	0.0962983253	0.2623188406	0.3031666667	0.6578947368	0.3968781437	0.2058479527	0.5208333333	0.5416666667	0.0097777342	0.0143539062	0.043532715	0.0486778758	0.0020948405	0.0074803715	0.0401099209	0.0444010666	0.0001983272
0.1928571429	0.1408416823	0.2345238095	0.2210784314	0.2063897061	0.7777777778	0.5623094538	0.2273038658	0.1500527653	0.5454545455	0.383850065	0.4009005523	0.5606060606	0.0015495174	0.0015627206	0.0058742311	0.0058611713	0.0003886739	0.0003868473	0.000362258	0.0003618625	0.000220658	0.0002205381	0.0004335011	0.0002158918	0.2726190476	0.1826885259	0.3661111111	0.1759803922	0.7037037037	0.4164109193	0.1584666089	0.7115384615	0.7243589744	0.0034482346	0.0034559873	0.0024880336	0.0025043152	0.0004272672	0.0004203183	0.0004275566	0.0004263739	0.0001881633
0.3123397436	0.2120460122	0.3251893939	0.3492907801	0.3003005141	0.7337398374	0.4166614002	0.3337851141	0.237828459	0.7678571429	0.4745373691	0.4964429049	0.7797619048	0.032939052	0.0413280962	0.0530950744	0.0606421739	0.005264593	0.0164443396	0.0313096495	0.0378488197	0.0274720736	0.0330452322	0.0095658133	0.0310104388	0.2211805556	0.1344996459	0.2943262411	0.3028333333	0.7064393939	0.3904793324	0.2439501545	0.7037037037	0.7240740741	0.0395811105	0.0473637131	0.0578710592	0.0650754711	0.0104095356	0.0202193664	0.0341984015	0.0398988211	0.0020214065
0.3038461538	0.2034529964	0.2591666667	0.3174603175	0.2914572498	0.8777777778	0.5626237684	0.3251695778	0.2434669457	0.6111111111	0.4866815454	0.5097882555	0.6203703704	0.0134213029	0.020125826	0.0525482374	0.0617159117	0.0006745779	0.004375493	0.0428620794	0.0467483026	0.0406969144	0.0437393756	0.0042114052	0.0430176168	0.3594444444	0.2096708307	0.3912878788	0.4387681159	0.8823529412	0.5009503216	0.2899665416	0.8166666667	0.8166666667	0.0209971395	0.0302392573	0.0621378839	0.0742954819	0.0057118153	0.011407654	0.0482218887	0.0550753623	0.0028862631
0.236875	0.1540440835	0.2092948718	0.2824404762	0.2663916844	0.6590909091	0.3789008966	0.2920942724	0.2272497388	0.6354166667	0.4437585171	0.464097645	0.6479166667	0.0136405002	0.0244875776	0.0475843922	0.0568574069	0.0007783935	0.0100740834	0.0372024606	0.0437511083	0.035318527	0.0410547768	0.0101376604	0.0396831839	0.252173913	0.1412786154	0.3376436782	0.3849462366	0.7166666667	0.3726404682	0.2363037452	0.7345679012	0.7518518519	0.023354935	0.0280426327	0.0545273967	0.061059321	0.0025296614	0.0074674431	0.0392809012	0.0436448076	0.0005516636
0.2298469388	0.1434774605	0.2044217687	0.254454023	0.2458275903	0.612745098	0.3608613781	0.2701114032	0.205218039	0.5072463768	0.410082433	0.4279967937	0.540942029	0.021154268	0.0257344635	0.0469590535	0.0512151647	0.0054984529	0.0079877356	0.0275670861	0.0296315115	0.0247708308	0.0262914478	0.0026113044	0.024941371	0.2336734694	0.1268077402	0.2216503268	0.2658764368	0.5866013072	0.3238513134	0.2160722825	0.5255102041	0.5588435374	0.0277374789	0.0313740005	0.0459878664	0.0501026073	0.0095356471	0.0120013111	0.0304992198	0.0323950398	0.0044160959
0.3453947368	0.2204814378	0.447826087	0.5703703704	0.2730631192	0.5912698413	0.2963696182	0.3035177706	0.3051832247	0.7857142857	0.4328949656	0.4511687163	0.7976190476	0.0193980691	0.0205009339	0.0729022385	0.076880182	0.0049014813	0.0050595803	0.0494040838	0.0504034956	0.0403571917	0.0409435952	0.0006033797	0.0369651055	0.15390625	0.0931866004	0.3091269841	0.378125	0.6666666667	0.4062186387	0.2534795913	0.7719298246	0.7850877193	0.0137120577	0.0143558536	0.0609890522	0.0640623839	0.0023015339	0.0023258005	0.0469368277	0.0474073622	5.23203785361774e-05
0.3979166667	0.229246088	0.5666666667	0.596875	0.378923382	0.9	0.4733151698	0.427726643	0.3171100912	0.7564102564	0.5410295844	0.5683350088	0.7564102564	0.0171195858	0.0312890242	0.0645428577	0.0861132521	0.0079410522	0.0209499458	0.0561403456	0.069031755	0.0518990314	0.0622919889	0.019643258	0.0585811816	0.1416666667	0.083129991	0.4705128205	0.5214285714	0.6666666667	0.3870743597	0.2835464125	0.6212121212	0.6439393939	0.0041845236	0.0164239855	0.0583846744	0.0764626148	0.0010718119	0.0141834672	0.0555055436	0.0684832598	0.0010264423
0.2921052632	0.19730183	0.4052083333	0.4851851852	0.3046782918	0.7857142857	0.4523967716	0.3407290985	0.2633129447	0.7777777778	0.4862655408	0.5092422522	0.7896825397	0.0175367421	0.0256596865	0.0587873377	0.0691057531	0.0037719388	0.0101927846	0.0428636246	0.0485203887	0.0375371341	0.0419889874	0.0069150588	0.0395769592	0.2927083333	0.2132276932	0.3954545455	0.4166666667	0.8240740741	0.506099903	0.2668181629	0.9	0.9	0.0100053582	0.0185291553	0.0574687096	0.0690047544	0.0022038338	0.0097360708	0.0466418484	0.0531007014	0.0009751035
0.1366071429	0.0902461349	0.3011574074	0.3314393939	0.2103077168	0.5677083333	0.3631187253	0.2273951102	0.2473607257	0.5104166667	0.4080111841	0.4261286914	0.53125	0.0107718552	0.0179406638	0.0488365843	0.0575194306	0.0007234159	0.0066921076	0.0409533014	0.0464545562	0.0399129666	0.0443170338	0.006927934	0.0436025997	0.1122395833	0.0673594904	0.3633333333	0.4270833333	0.5462962963	0.3314042538	0.2631551058	0.5462962963	0.5833333333	0.0112965587	0.0225007142	0.0523173347	0.0647711325	0.0017562231	0.0065892289	0.0432647286	0.0482650446	0.0011906295
0.05	0.0199034602	0.4740740741	0.4958333333	0.122625008	0.1805555556	0.0763341332	0.1250208982	0.3508818934	0.6666666667	0.3147076118	0.324840472	0.7023809524	0.0025891782	0.0081402359	0.0762459042	0.1020678286	0.0028944153	0.0089714833	0.0655269949	0.0745880562	0.0610876388	0.0668095386	0.009552462	0.063584508	0.1805555556	0.1314266275	0.3592592593	0.5015151515	0.6333333333	0.4275387946	0.3398174546	0.619047619	0.619047619	0.0019981981	0.0091168737	0.0730978086	0.0979518801	0.0018600618	0.0093690255	0.0664470502	0.0815144211	0.002124916
