1-sdl	2-sdl	3-sdl	4-sdl	5-sdl	6-sdl	7-sdl	8-sdl	9-sdl	10-sdl	11-sdl	12-sdl	13-sdl	14-sdl	15-sdl
54	1	43.45	4.351852	-132.725	1.3414634	0.754717	0.03846154	0.3653846	-25.517	-4.349	-2.609	36	75	0.89
23	0	46.19	3.173913	-45.0946	1.1111112	0.90909094	0	0.71428573	-7.368	-1.892	-1.083	15	68.18	0.96
12	0	11.56	3.5833333	-26.7063	1	0.8181818	0	0.5	-3.817	-1.043	-0.466	4	36.36	0.92
22	0	54.39	3.8636363	-40.8926	1.0526316	0.9047619	0	0.45	-7.049	-1.733	-0.661	12	63.16	0.86
18	0	43.97	4.0555553	-49.4299	1.25	0.7647059	0	0.3125	-8.901	-0.867	-0.584	8	53.33	0.83
8	0	56.45	3.375	-18.0943	1	1	0	0.6666667	-2.576	-0.309	-0.139	5	71.43	0.88
26	0	36.6	4.0384617	-59.9823	1.08	0.68	0.041666668	0.33333334	-12.077	-1.78	-0.825	12	57.14	0.81
29	0	2.51	3.7931035	-80.3682	1.125	0.6785714	0.074074075	0.37037036	-11.46	-2.648	-0.95	16	64	0.86
23	1	54.79	4.304348	-51.2767	1.1666666	0.77272725	0.04761905	0.33333334	-9.889	-1.372	-0.774	10	66.67	0.65
38	1	7.05	3.9736843	-97.3964	1.060606	0.7567568	0.055555556	0.44444445	-15.246	-2.889	-1.224	22	66.67	0.87
28	0	54.58	4.357143	-65.8335	1.1034483	0.8888889	0	0.42307693	-10.883	-1.055	-1.093	21	80.77	0.93
23	1	20.27	4.521739	-61.9354	1.0454545	0.6818182	0	0.0952381	-8.972	-3.481	-1.088	9	56.25	0.7
11	0	68.21	3.1818182	-32.2185	1	0.5	0	0.22222222	-4.767	-1.409	-0.312	5	62.5	0.73
37	3	57.25	4.135135	-93.002	1.1875	0.6944444	0.057142857	0.25714287	-18.475	-2.175	-1.467	19	55.88	0.92
22	0	76.16	4.409091	-48.8235	1.0952381	0.8095238	0.05	0.6	-9.02	-1.188	-0.742	16	76.19	0.95
13	1	42.84	3.6153846	-30.8254	1.1538461	0.75	0.09090909	0.36363637	-5.681	-1.016	-0.4	7	70	0.77
19	0	71.91	4.6	-57.6502	1.1	0.68421054	0.055555556	0.16666667	-7.871	-1.354	-0.678	8	47.06	0.85
10	0	100	3.5	-15.4315	1	1	0.125	0.75	-3.226	-0.187	-0.226	5	50	1
36	0	34.34	4.4166665	-88.6587	1.3125	0.74285716	0.0882353	0.44117647	-16.971	-1.298	-1.545	25	71.43	0.97
15	0	54.87	3.4666667	-27.2166	1	1	0.07692308	0.46153846	-4.845	-0.638	-0.267	8	61.54	0.87
19	1	7.06	3.631579	-39.5615	1.2	0.6666667	0.05882353	0.3529412	-8.82	-1.361	-0.7	13	72.22	0.95
27	0	68.35	4.185185	-57.22	1.2380953	0.88461536	0.08	0.44	-8.393	-2.086	-0.756	20	74.07	1
8	0	18.15	4	-13.9635	1	1	0	0.5	-2.116	-0.215	-0.161	4	50	1
27	1	49.86	4.2222223	-57.8677	1.1153846	0.6923077	0.08	0.4	-13.334	-1.061	-1.076	18	72	0.93
8	1	23.92	5.5	-26.6174	1	0.2857143	0	0	-5.371	-0.738	-0.456	5	62.5	1
31	0	74.42	4.2580647	-63.2504	1.2083334	0.8333333	0	0.41379312	-10.124	-1.566	-0.935	21	70	0.97
8	0	6.25	4.375	-24.634	1	0.42857143	0	0	-4.991	-0.37	-0.336	6	85.71	0.88
19	1	37.07	3.8947368	-54.6137	1.0588236	0.5	0	0.1764706	-9.079	-1.055	-0.723	9	50	0.95
17	2	46.23	5.470588	-36.6268	1	0.625	0	0.4	-6.495	-0.671	-0.496	10	62.5	0.94
15	0	8.35	3.5333333	-38.5721	1.1538461	0.85714287	0.15384616	0.15384616	-7.475	-0.5	-0.626	10	66.67	1
23	3	44.05	4.4347825	-44.1885	1	0.6363636	0	0.33333334	-9.222	-1.146	-0.734	9	40.91	0.96
14	0	21.11	4.428571	-26.5889	1	0.84615386	0	0.5833333	-5.597	-0.468	-0.396	5	45.45	0.79
8	0	16.77	2.625	-13.9926	1	1	0	0.6666667	-2.899	-0.409	-0.197	5	62.5	1
9	2	75.42	5.5555553	-10.0758	1	0.375	0	0.14285715	-4.024	-0.097	-0.085	7	77.78	1
15	2	93.11	5.4	-34.4556	1	0.5	0	0.15384616	-8.525	-0.426	-0.426	11	78.57	0.93
22	2	40.11	3.6666667	-54.0638	1.0555556	0.4	0	0.21052632	-10.881	-1.002	-0.663	11	55	0.95
12	0	28.45	4.5	-20.2925	1.0833334	0.8181818	0	0.5	-3.682	-0.287	-0.313	11	91.67	1
23	3	45.52	5.6086955	-59.3837	1.1538461	0.5	0	0.0952381	-13.523	-1.223	-1.065	13	72.22	0.78
9	1	35.37	5.2222223	-34.5579	1	0.375	0	0.14285715	-6.901	-0.449	-0.415	8	88.89	1
17	1	24.37	4.117647	-47.0388	1	0.5625	0	0.2	-7.664	-1.599	-0.778	10	71.43	0.82
17	1	56.51	4.2352943	-55.902	1.2352941	0.5625	0	0.06666667	-9.538	-1.436	-0.95	14	87.5	0.94
21	1	36.59	4.904762	-39.0065	1.0476191	0.65	0.10526316	0.36842105	-8.595	-1.269	-1.024	12	57.14	1
10	0	59.59	3.8	-31.6893	1	0.5555556	0	0.125	-4.302	-1.238	-0.649	5	50	1
22	2	32.92	4.090909	-61.0376	1.173913	0.71428573	0.05	0.35	-9.953	-1.905	-0.951	12	70.59	0.77
36	3	47.08	3.6470587	-91.1517	1.2222222	0.54545456	0.03125	0.25	-15.304	-2.392	-1.183	24	72.73	0.97
18	0	49.33	4.2777777	-45.4478	1	0.7647059	0.0625	0.375	-8.284	-1.117	-0.832	10	62.5	0.89
19	3	2.94	4.2105265	-48.7343	1.1052631	0.33333334	0.05882353	0.1764706	-10.092	-1.921	-1.161	10	62.5	0.84
24	0	28.62	3.3333333	-56.5535	1.05	0.7826087	0.09090909	0.4090909	-10.499	-2.068	-1.062	12	54.55	0.92
14	1	5.12	4.214286	-40.4685	1.0769231	0.3846154	0	0	-6.943	-1.038	-0.687	8	57.14	1
13	2	35.6	5.8461537	-28.7757	1	0.41666666	0	0.09090909	-5.347	-0.666	-0.705	7	58.33	0.92
16	0	71.79	3.5882354	-50.7663	1.125	0.5625	0	0.13333334	-7.033	-1.836	-0.803	4	28.57	0.82
8	0	55.47	4.25	-17.854	1	1	0.16666667	0.5	-3.832	-0.19	-0.304	6	75	1
22	2	34.12	4.6363635	-67.3942	1.0476191	0.42857143	0.05	0.1	-11.357	-1.521	-0.765	12	66.67	0.82
21	2	8.95	4.285714	-40.8517	1.117647	0.6	0	0.2631579	-8.907	-0.862	-0.807	10	47.62	1
24	2	60.67	4.75	-70.1951	1.0833334	0.5652174	0	0.22727273	-12.212	-1.408	-0.837	16	69.57	0.96
23	1	44.08	3.6956522	-51.0328	1.0434783	0.6818182	0	0.3809524	-9.321	-0.479	-0.836	15	65.22	1
9	0	28.83	3.5555556	-18.6662	1	0.875	0	0.5714286	-3.867	-0.179	-0.353	5	62.5	0.89
18	0	57.15	3.6111112	-39.1124	1	0.8235294	0	0.5625	-6.75	-1.094	-0.605	11	73.33	0.83
19	1	33.19	3.6842105	-51.2112	1.1	0.5	0	0.1764706	-9.645	-1.063	-0.786	14	87.5	0.84
22	5	63.83	4.090909	-56.73	1.1	0.52380955	0	0.35	-9.535	-1.694	-0.647	12	57.14	0.95
7	0	46.67	3	-24.9721	1	0.5	0	0	-2.709	-1.526	-0.229	3	60	0.71
14	0	9.09	3.7857144	-31.1726	1	0.53846157	0	0.41666666	-7.038	-0.792	-0.802	7	53.85	0.93
37	2	22.18	4	-116.992	1.1333333	0.6111111	0	0.17142858	-17.296	-2.922	-1.445	26	72.22	0.97
25	4	20.99	3.68	-66.9022	1.2222222	0.375	0.04347826	0.17391305	-12.528	-1.881	-1.331	12	60	0.8
16	2	36.75	4.3125	-47.3372	1.1	0.53333336	0	0.071428575	-8.524	-0.766	-0.765	10	71.43	0.88
19	1	44.72	3.8947368	-52.9495	1.0555556	0.6666667	0	0.29411766	-8.564	-1.976	-0.747	9	56.25	0.84
38	4	25.91	3.8947368	-105.915	1.2413793	0.5405405	0	0.2777778	-18.138	-2.817	-1.722	24	66.67	0.95
18	2	64.24	4	-41.3495	1.0588236	0.5294118	0	0.4375	-7.564	-0.943	-0.779	10	62.5	0.89
20	4	33.31	5.05	-55.7552	1.1052631	0.5263158	0	0.16666667	-10.924	-1.017	-0.852	9	47.37	0.95
8	0	20.97	4.125	-29.1789	1	0.5714286	0	0.33333334	-5.444	-0.362	-0.176	6	85.71	0.88
44	1	38.87	4.159091	-121.669	1.2571429	0.6976744	0.04761905	0.35714287	-19.04	-4.066	-2.429	29	72.5	0.91
31	0	45.79	4.129032	-71.8701	1	0.8	0.03448276	0.37931034	-12.697	-2.04	-1.008	16	55.17	0.94
54	0	50.94	3.4444444	-122.072	1.4473684	0.8679245	0.01923077	0.42307693	-19.478	-3.627	-1.682	34	72.34	0.87
33	0	50.19	4.7272725	-85.1286	1.0967742	0.71875	0.06451613	0.2580645	-15.34	-1.37	-1.075	23	71.88	0.97
41	0	27.87	4.365854	-81.114	1.1666666	0.875	0.07692308	0.4871795	-16.702	-1.643	-1.286	27	75	0.88
28	0	63	4.142857	-56.2689	1.16	0.8518519	0.07692308	0.3846154	-10.122	-1.7	-0.763	15	65.22	0.82
14	0	63.73	4.428571	-32.0286	1.0833334	0.84615386	0.083333336	0.5	-5.518	-0.842	-0.307	9	75	0.86
46	2	38.68	5.2173915	-118.294	1.2380953	0.6	0.09090909	0.22727273	-22.295	-2.843	-2.597	29	67.44	0.93
12	0	15.88	4	-28.5231	1	0.8181818	0	0.3	-4.606	-0.933	-0.597	6	50	1
29	0	48	4.172414	-63.6092	1.16	0.78571427	0.037037037	0.4814815	-10.599	-1.972	-1.312	16	64	0.86
24	0	62.01	4.25	-61.6446	1	0.7826087	0.045454547	0.22727273	-10.64	-1.762	-0.893	15	65.22	0.96
45	1	40.06	4.3777776	-109.94	1.3428571	0.75	0.093023255	0.30232558	-17.598	-2.417	-1.421	24	64.86	0.82
20	0	46.43	4.05	-44.5161	1.1764706	0.7894737	0	0.5	-9.094	-0.808	-0.947	12	60	1
25	0	46.2	4.68	-58.62	1.1481482	0.8333333	0.04347826	0.26086956	-11.364	-1.16	-0.989	17	73.91	0.92
20	0	27.63	4.25	-42.8251	1.0526316	0.8947368	0	0.3888889	-7.293	-2.008	-0.813	7	43.75	0.8
25	0	56.39	4.28	-53.824	1.1304348	0.8333333	0.04347826	0.47826087	-9.008	-1.746	-1.075	14	58.33	0.96
30	0	40.46	4.6666665	-70.0386	1.1666666	0.7241379	0	0.4642857	-13.453	-1.825	-1.15	13	48.15	0.9
34	0	71.46	4.7647057	-68.6347	1.0967742	0.8787879	0	0.59375	-12.536	-1.434	-1.222	27	79.41	1
25	0	62.38	4.32	-55.0067	1.1818181	0.7916667	0.04347826	0.4347826	-10.582	-1.131	-0.799	16	64	1
26	0	61.59	4	-46.3254	1.1428572	0.84	0	0.75	-7.272	-1.32	-0.663	21	84	0.96
37	0	15.23	4.216216	-102.755	1.125	0.6944444	0.028571429	0.114285715	-17.992	-2.768	-1.629	23	63.89	0.97
32	1	52.72	4.65625	-79.9372	1.1481482	0.67741936	0	0.3	-14.717	-1.63	-1.34	25	80.65	0.97
23	0	38.7	4.652174	-43.1258	1.1363636	0.90909094	0	0.71428573	-7.851	-0.573	-0.734	16	76.19	0.91
31	1	89.38	4.322581	-65.2663	1.2068965	0.8333333	0.10344828	0.3448276	-12.454	-1.106	-0.521	21	80.77	0.84
16	0	43.1	4.375	-36.5606	1.0666667	0.73333335	0.071428575	0.2857143	-5.49	-1.658	-0.573	8	61.54	0.81
38	0	56.3	4.736842	-68.261	1.25	0.9459459	0.055555556	0.5833333	-14.008	-1.339	-1.226	24	70.59	0.89
21	0	43.29	5.047619	-57.9566	1.1	0.7	0.05263158	0.36842105	-8.56	-1.15	-0.707	9	45	0.95
15	0	23.18	5.0666666	-35.3836	1	0.78571427	0.07692308	0.07692308	-6.278	-1.589	-0.605	10	76.92	0.87
45	1	65.65	4.177778	-89.5233	1.1388888	0.75	0.069767445	0.53488374	-15.813	-2.536	-1.465	26	61.9	0.93
10	0	12.81	5	-37.9143	1	0.44444445	0	0.125	-6.051	-0.656	-0.612	3	42.86	0.7
19	0	71.36	4.5263157	-45.7912	1	0.6111111	0.05882353	0.23529412	-6.02	-1.28	-0.661	11	61.11	0.95
18	0	29.8	4.7222223	-38.5423	1.0625	0.88235295	0.0625	0.375	-7.048	-0.604	-0.633	14	82.35	0.94
23	0	57.4	4.0434785	-48.9617	1.0909091	0.8181818	0	0.52380955	-9.313	-1.245	-0.84	14	66.67	0.91
13	0	25.63	4.6923075	-34.3582	1	0.5	0.09090909	0.09090909	-7.094	-0.505	-0.595	10	76.92	1
21	0	22.09	4.714286	-56.5828	1.1111112	0.6	0.10526316	0.21052632	-9.962	-0.895	-0.679	13	61.9	1
27	0	45.25	4.185185	-76.9587	1.125	0.53846157	0.04	0.36	-13.833	-1.514	-1.17	18	66.67	1
10	0	100	3.5	-19.1337	1	1	0.125	0.625	-2.703	-0.399	-0.175	8	80	1
31	2	58.04	4.548387	-82.1211	1.2307693	0.6	0	0.2413793	-11.877	-2.032	-1.302	22	70.97	1
23	0	20.56	4.869565	-61.3265	1.25	0.6818182	0.04761905	0.33333334	-10.083	-1.544	-1.29	15	75	0.87
20	0	75.26	4.3	-39.1855	1.1	0.7894737	0.055555556	0.6111111	-7.405	-0.721	-0.605	15	83.33	0.9
32	2	31.87	4.3125	-100.193	1.060606	0.5483871	0.06666667	0.23333333	-14.171	-2.655	-1.326	14	60.87	0.72
6	0	22.12	5.5	-14.82	1	0.8	0	0.25	-2.471	-0.132	-0.144	3	50	1
14	0	55.68	4.428571	-34.9805	1	0.84615386	0	0.5833333	-6.896	-0.479	-0.325	6	54.55	0.79
26	1	67.36	4.8846154	-85.5173	1.0384616	0.48	0.083333336	0.125	-13.947	-1.367	-1.385	21	80.77	1
19	2	54.49	4.894737	-45.3304	1.125	0.7222222	0.11764706	0.1764706	-9.117	-0.726	-0.565	10	52.63	1
31	4	81.37	5.193548	-93.1066	1.0689656	0.5	0.06896552	0.1724138	-15.732	-0.998	-0.896	23	76.67	0.97
34	6	46.58	4.9117646	-66.1038	1.2413793	0.6060606	0	0.40625	-14.674	-1.071	-0.951	26	78.79	0.97
27	3	58.1	4.888889	-62.619	1.1666666	0.61538464	0.04	0.36	-9.613	-1.023	-0.869	20	74.07	1
12	1	11.09	4.9166665	-38.3278	1.1538461	0.45454547	0	0.1	-6.541	-0.519	-0.396	6	66.67	0.75
47	3	65.1	4.212766	-151.355	1.2894737	0.5217391	0.044444446	0.22222222	-25.556	-2.615	-1.409	36	78.26	0.98
19	0	59.9	4.105263	-57.7176	1.117647	0.7222222	0.05882353	0.11764706	-9.551	-0.781	-0.824	14	77.78	0.95
18	1	42.29	4.4444447	-58.3432	1.15	0.47058824	0.125	0	-10.015	-0.815	-0.709	8	53.33	0.83
14	0	61.42	4.285714	-33.4848	1	0.7692308	0.083333336	0.25	-6.454	-0.671	-0.401	10	71.43	1
30	1	63.65	4.7	-66.3017	1.2	0.7241379	0.071428575	0.42857143	-11.785	-1.906	-1.274	21	72.41	0.97
40	0	30.27	4.125	-82.952	1.3225807	0.8974359	0.078947365	0.5	-14.327	-4.066	-2.757	29	74.36	0.97
27	0	74.05	3.925926	-48.9639	1.0869565	0.9230769	0.04	0.68	-9.158	-1.397	-0.657	16	66.67	0.89
11	1	4.06	5.5454545	-43.0296	1	0.3	0	0.11111111	-10.041	-0.546	-0.269	6	60	0.91
43	3	57.97	4.6744184	-85.2172	1.3888888	0.78571427	0.024390243	0.46341464	-17.778	-2.118	-1.426	23	60.53	0.88
23	1	63.08	4.304348	-46.2923	1.15	0.8181818	0.04761905	0.47619048	-9.566	-1.755	-0.893	12	54.55	0.96
9	0	100	4.2222223	-18.5983	1	0.875	0.14285715	0.42857143	-3.807	-0.169	-0.166	7	77.78	1
16	0	36.02	4.1875	-36.4845	1	0.93333334	0	0.35714287	-6.082	-0.827	-0.508	12	75	1
12	2	13.86	4.9166665	-20.6365	1	0.72727275	0	0.4	-4.23	-0.733	-0.529	10	83.33	1
16	1	54.73	4.3125	-36.4555	1.0714285	0.6666667	0.14285715	0.21428572	-7.915	-0.457	-0.261	7	46.67	0.94
27	1	51.42	3.851852	-68.2421	1.1666666	0.6923077	0.04	0.4	-11.851	-2	-1.473	16	59.26	1
37	1	58.96	4.4864864	-88.1198	1.2727273	0.8611111	0.057142857	0.51428574	-16.113	-1.402	-1.053	23	71.88	0.86
19	0	39.37	5.7894735	-45.6763	1.0625	0.7777778	0	0.47058824	-8.252	-2.371	-1.162	11	73.33	0.79
55	1	66.11	4	-113.617	1.375	0.8333333	0.03773585	0.4716981	-21.953	-1.603	-1.347	38	71.7	0.96
43	0	42.34	4.5581393	-99.8706	1.3125	0.8333333	0.048780486	0.46341464	-15.498	-3.544	-1.892	26	68.42	0.88
13	0	44.99	3.1538463	-25.9295	1.0909091	0.9166667	0	0.54545456	-3.96	-0.771	-0.391	8	72.73	0.85
21	1	51.25	5.047619	-55.0373	1.1052631	0.7	0.05263158	0.47368422	-11.137	-1.297	-1.144	14	66.67	1
16	0	42.99	4.3125	-44.2042	1.0588236	0.8666667	0.14285715	0.21428572	-8.135	-0.663	-0.553	8	53.33	0.94
40	6	81.6	4.575	-98.2188	1.3030303	0.61538464	0	0.34210527	-18.761	-1.546	-1.464	29	76.32	0.95
8	0	7.09	4.125	-14.2083	1	1	0.33333334	0.33333334	-2.923	-1.675	-0.777	3	75	0.5
11	2	14.93	4.7272725	-47.7257	1	0.2	0	0	-7.995	-0.987	-0.497	7	63.64	1
41	2	54.69	4.6585364	-98.4584	1.2571429	0.75	0.051282052	0.30769232	-19.857	-1.577	-1.321	27	69.23	0.95
14	0	100	3.7142856	-28.3495	1.0714285	0.9230769	0.16666667	0.41666666	-5.739	-0.484	-0.324	9	75	0.86
36	0	64.99	4.6666665	-96.4425	1.1	0.62857145	0.05882353	0.29411766	-16.057	-1.527	-1.67	27	75	1
24	1	22.76	3.75	-70.7297	1.0476191	0.6956522	0	0.3181818	-10.673	-2.47	-0.928	9	50	0.75
12	2	25.78	3.9166667	-30.6333	1	0.6363636	0	0.4	-5.247	-0.513	-0.491	9	75	1
81	2	38.68	4.0617285	-229.094	1.28125	0.625	0	0.3164557	-36.627	-5.341	-2.92	50	66.67	0.93
21	0	31.09	4.6190476	-46.5355	1.1428572	0.75	0.05263158	0.36842105	-9.632	-0.571	-0.848	13	72.22	0.86
16	0	35.83	3.9375	-29.0631	1	1	0	0.5	-5.195	-0.854	-0.617	13	81.25	1
10	0	100	3.7	-15.1075	1	0.8888889	0	0.625	-2.35	-0.797	-0.477	5	55.56	0.9
26	2	57.45	4	-67.8244	1.0833334	0.48	0.041666668	0.29166666	-13.199	-1.4	-0.814	17	68	0.96
53	2	59.88	4.5849056	-142.453	1.2380953	0.63461536	0.05882353	0.23529412	-25.169	-2.182	-1.673	37	74	0.94
27	1	48.67	3.851852	-62.7502	1.2692307	0.8076923	0.04	0.44	-11.673	-1.844	-1.25	10	50	0.74
15	0	4.36	4.266667	-48.8354	1.1333333	0.71428573	0.07692308	0.23076923	-7.539	-1.789	-0.579	9	64.29	0.93
16	0	24.24	4	-42.8926	1	0.73333335	0	0.2857143	-7.59	-1.256	-0.654	8	53.33	0.94
11	0	48.19	4.7272725	-30.8821	1	0.7	0.11111111	0.22222222	-4.871	-0.681	-0.212	9	90	0.91
40	0	41.08	3.725	-106.696	1.1875	0.7692308	0.05263158	0.28947368	-19.103	-2.165	-1.466	23	58.97	0.97
14	0	4.41	4.071429	-28.9062	1	0.9230769	0	0.5833333	-4.527	-1.009	-0.632	7	63.64	0.79
25	4	58.77	4.36	-65.9568	1.0833334	0.5833333	0.04347826	0.3478261	-10.935	-0.893	-0.979	20	83.33	0.96
20	1	71.14	3.6	-50.1251	1.1875	0.68421054	0	0.3888889	-7.582	-1.036	-0.713	16	80	1
19	1	53.25	3.4736843	-35.4503	1	0.7222222	0.05882353	0.4117647	-7.225	-1.38	-0.679	9	50	0.95
32	2	6.67	3.59375	-79.7555	1.08	0.58064514	0.033333335	0.3	-12.634	-2.719	-0.935	19	63.33	0.94
38	2	67.68	4.9210525	-96.8973	1.2285714	0.6756757	0	0.2777778	-17.276	-1.773	-1.437	23	69.7	0.87
14	2	45.63	4.866667	-40.4963	1	0.2857143	0	0.07692308	-8.845	-0.502	-0.403	11	84.62	0.87
14	0	34.39	4.428571	-52.2087	1	0.30769232	0	0.083333336	-9.13	-1.265	-0.892	7	58.33	0.86
11	0	89.43	4.6363635	-35.677	1	0.6	0	0.22222222	-6.04	-0.551	-0.244	7	70	0.91
22	1	46.58	5.7727275	-57.1427	1.0434783	0.52380955	0.15	0.2	-9.143	-1.351	-1.577	14	70	0.91
19	0	44.82	4.3157897	-57.0312	1.2631578	0.7222222	0	0.1764706	-9.049	-1.217	-1.106	13	76.47	0.89
16	2	37.52	4.25	-38.944	1.3333334	0.53333336	0	0.071428575	-8.5	-0.601	-0.676	13	81.25	1
12	0	44.07	3.5833333	-36.0294	1.0833334	0.72727275	0.1	0.2	-5.292	-0.631	-0.432	7	63.64	0.92
15	0	19.7	4	-38.4148	1	0.64285713	0	0.3846154	-6.982	-0.616	-0.665	10	66.67	1
27	3	50.03	4.185185	-61.2285	1.1304348	0.65384614	0	0.32	-13.826	-0.704	-0.918	17	62.96	1
17	1	32.51	4.0588236	-46.8202	1	0.625	0	0.2	-7.648	-0.98	-0.831	11	68.75	0.94
26	1	31.55	4.6923075	-74.0005	1.125	0.6	0	0.29166666	-12.235	-2.46	-1.19	17	73.91	0.88
15	1	61.88	4.0666666	-42.2099	1.0555556	0.71428573	0	0.30769232	-6.441	-0.811	-0.551	7	58.33	0.8
21	0	54.31	4.4761906	-45.9545	1	0.85	0.05263158	0.47368422	-7.914	-1.622	-0.644	10	47.62	1
12	1	73.78	5.3333335	-29.6019	1	0.6363636	0	0.3	-5.111	-0.388	-0.15	9	75	1
29	0	35.12	4.448276	-77.5968	1.0833334	0.64285713	0.074074075	0.33333334	-13.193	-2.792	-1.408	21	80.77	0.9
41	2	27.01	4.6829267	-121.724	1.1315789	0.55	0.025641026	0.15384616	-21.912	-3.236	-2.204	21	56.76	0.9
20	2	28.62	4.65	-57.9696	1.1052631	0.47368422	0	0.11111111	-8.681	-0.793	-0.538	14	77.78	0.9
39	2	24.43	4.25641	-105.176	1.2285714	0.5263158	0.054054055	0.1891892	-17.941	-1.868	-1.376	24	68.57	0.9
