1-loria	2-loria	3-loria	4-loria	5-loria	6-loria	7-loria	8-loria	9-loria	10-loria	11-loria	12-loria	13-loria	14-loria	15-loria	16-loria	17-loria	18-loria	19-loria	20-loria	21-loria	22-loria	23-loria	24-loria	25-loria	26-loria	27-loria	28-loria	29-loria	30-loria	31-loria	32-loria	33-loria	34-loria	35-loria	36-loria	37-loria	38-loria	39-loria	40-loria	41-loria	42-loria	43-loria	44-loria	45-loria	46-loria	47-loria	48-loria	49-loria
0.751852	0.569185	0.538815	0.546222	0.411852	0.703704	0.483852	0.48237	0.492741	0.353481	0.192593	0.0351852	0.0137037	0.0144444	0.00351852	0.266667	0.0318889	0.0274444	0.0474444	0.0144444	3.672818e-03	0.0014028	7.99791e-09	5.15577e-09	7.99384e-09	0.000270421	3.87737e-11	5.07943e-11	1.35973e-10	6.042751e-02	2.484694e-01	0.00222455	2.72492e-08	1.72311e-08	3.72838e-08	0	0	0	0	4.704932e-03	25	25	1	1	1	0	0	0	0
0.838889	0.719333	0.698222	0.687111	0.607333	0.722222	0.494056	0.476278	0.465167	0.3765	0.308333	0.0844444	0.06	0.0544444	0.0160556	0.352778	0.0745556	0.0678889	0.0812222	0.0333333	7.072103e-03	0.00176764	1.04344e-08	7.04701e-09	6.29206e-09	0.000362269	0	0	0	3.043854e-01	3.608920e-01	0.00596952	2.83849e-07	2.44408e-07	2.69103e-07	0	0	0	0	6.192322e-03	32	34	1.0625	1	1	0	0	0	0
0.815385	0.76	0.76	0.76	0.704615	0.661538	0.481846	0.432615	0.401846	0.278769	0.223077	0.113692	0.0383077	0.0229231	0.00615385	0.246154	0.0406154	0.0313846	0.0729231	0.0143077	5.393223e-03	0.00365931	4.68496e-07	2.0103e-07	2.43208e-07	0.000220486	4.95138e-11	5.46821e-11	2.15264e-10	4.661582e-01	3.922842e-01	0.00838441	2.13421e-06	1.46856e-06	2.97193e-06	0	0	0	0	1.079989e-02	11	11	1	1	1	0	0	0	0
0.842105	0.751158	0.751158	0.761684	0.672421	0.768421	0.626947	0.603789	0.593263	0.527158	0.189474	0.0457895	0.0152632	0.0163158	0.00484211	0.252632	0.0334737	0.0271579	0.0555789	0.0154737	1.008474e-02	0.00498523	5.51371e-07	4.27763e-07	6.58722e-07	0.000295617	6.95363e-11	7.80787e-11	1.99542e-10	2.790218e-01	3.493186e-01	0.00756674	6.73503e-07	8.70778e-07	2.32499e-06	0	0	0	0	9.928000e-03	18	17	0.9444444444	1	1	0	0	0	0
0.853846	0.747385	0.747385	0.755077	0.657538	0.803846	0.674308	0.657385	0.649692	0.538308	0.223077	0.0398462	0.0175385	0.0183077	0.00523077	0.284615	0.0366923	0.0320769	0.0528462	0.0173077	5.902065e-03	0.0051077	3.75038e-07	3.10255e-07	4.08273e-07	0.00019722	1.54687e-11	1.67918e-11	3.26396e-11	6.694493e-02	1.694172e-01	0.00812726	7.90449e-07	9.28901e-07	1.76482e-06	0	0	0	0	6.967054e-03	21	24	1.1428571429	1	1	0	0	0	0
0.709524	0.464952	0.474476	0.513524	0.303238	0.642857	0.370286	0.368381	0.377905	0.233524	0.209524	0.0140476	0.015	0.0430952	0.00542857	0.295238	0.0399524	0.0475714	0.0732857	0.0242857	4.082240e-03	0.000906696	2.28665e-09	2.24167e-09	3.75648e-09	0.000283596	7.45717e-11	4.01688e-11	3.94186e-11	5.130831e-03	1.797755e-01	0.00281418	3.57818e-08	5.80511e-08	1.77614e-07	0	0	0	0	5.039588e-03	18	19	1.0555555556	1	1	0	0	0	0
0.65	0.446667	0.436667	0.473333	0.28	0.633333	0.449333	0.412667	0.409333	0.318	0.225	0.0966667	0.015	0.015	0.00366667	0.266667	0.0396667	0.033	0.078	0.014	7.684550e-03	0.00300468	2.85892e-07	1.79507e-07	3.71687e-07	0.00226822	5.60423e-08	6.55512e-08	2.72041e-07	2.711614e-01	5.433198e-01	0.00237541	1.37661e-07	1.55807e-07	4.14101e-07	0	0	0	0	1.644001e-02	6	10	1.6666666667	1	0	0	0	0	0
0.623529	0.483765	0.450824	0.452	0.334353	0.611765	0.439765	0.426824	0.438588	0.323529	0.305882	0.110588	0.0529412	0.0411765	0.0284706	0.329412	0.0592941	0.0522353	0.0804706	0.036	8.128122e-03	0.000402087	4.38173e-10	2.96933e-10	8.88369e-10	0.000340023	1.2075e-10	1.66082e-10	6.78823e-10	2.760526e-03	1.243612e-03	0.00474815	2.15882e-07	4.0093e-07	1.8081e-06	0	0	0	0	1.051764e-02	12	15	1.25	1	1	2	0.133333	2	0.166667
0.65625	0.411	0.436	0.476	0.324	0.61875	0.36325	0.34825	0.3745	0.205	0.15625	0.0113125	0.0063125	0.0181875	0.00325	0.25	0.0306875	0.0294375	0.0631875	0.014625	5.109934e-03	0.000672791	1.86624e-09	1.04606e-09	2.30754e-09	0.000272744	6.75209e-11	4.37355e-11	4.26881e-11	7.901220e-02	3.423476e-01	0.00101227	1.75878e-09	3.74967e-09	1.5109e-08	0	0	0	0	7.844527e-03	14	14	1	1	1	0	0	0	0
0.575	0.281	0.297667	0.349333	0.199333	0.525	0.232	0.228667	0.252	0.154667	0.233333	0.0985833	0.02275	0.0394167	0.00708333	0.25	0.0371667	0.0355	0.0805	0.017	2.468533e-03	0.000198613	1.87177e-10	9.66774e-11	1.97296e-10	5.89139e-05	1.18821e-11	3.46002e-12	4.76689e-12	1.274405e-01	1.396239e-01	0.000433239	1.02033e-09	9.54506e-10	4.03849e-09	0	0	0	0	1.218040e-02	9	10	1.1111111111	1	0	0	0	0	0
0.851515	0.734182	0.734182	0.734182	0.650061	0.793939	0.644909	0.625515	0.613394	0.528788	0.272727	0.066697	0.037	0.0400303	0.0132727	0.324242	0.0543333	0.0537273	0.0694848	0.0254848	1.182700e-02	0.0035623	1.06602e-07	5.83234e-08	6.66553e-08	0.000438004	1.44629e-10	1.54658e-10	1.97546e-10	5.558589e-01	5.424695e-01	0.0063004	3.33609e-07	2.90052e-07	4.12817e-07	0	0	0	0	9.951249e-03	25	31	1.24	1	1	0	0	0	0
0.533333	0.52	0.406667	0.306667	0.293333	0.383333	0.255333	0.152	0.172	0.078	0.316667	0.196	0.116	0.106	0.06	0.3	0.148	0.078	0.148	0.036	3.905425e-02	0.000422351	2.35266e-07	2.6916e-09	2.04079e-09	3.36424e-05	1.19552e-10	1.84631e-12	1.74792e-11	7.985600e-01	7.621534e-01	0.00109117	9.71094e-07	2.03161e-08	2.49095e-08	3.32442e-05	4.0932e-11	7.64919e-12	2.06531e-10	9.047150e-02	4	4	1	1	1	0	0	0	0
0.741176	0.532235	0.555765	0.593412	0.453176	0.717647	0.532235	0.506353	0.494588	0.387765	0.135294	0.00952941	0.00482353	0.0154118	0.00188235	0.241176	0.0336471	0.0265882	0.0583529	0.0127059	5.321881e-03	0.00279884	1.11236e-07	9.45296e-08	1.7836e-07	0.00115135	4.68796e-09	3.14993e-09	3.32032e-09	1.431259e-01	3.218896e-01	0.00286764	5.71535e-08	8.79428e-08	2.95927e-07	0	0	0	0	7.558176e-03	18	15	0.8333333333	1	1	0	0	0	0
0.828571	0.676571	0.690857	0.713714	0.575429	0.792857	0.634857	0.619143	0.612	0.480857	0.225	0.0206786	0.0256786	0.03925	0.0106429	0.289286	0.0405357	0.03625	0.0555357	0.0236429	5.600140e-03	0.00447385	2.06357e-07	2.08245e-07	2.82568e-07	0.000213963	3.02358e-11	1.59946e-11	1.82075e-11	2.571239e-01	3.518951e-01	0.00711554	4.85837e-07	6.75798e-07	1.40587e-06	0	0	0	0	4.374020e-03	28	26	0.9285714286	1	1	0	0	0	0
0.88	0.74496	0.74496	0.75696	0.66864	0.848	0.692	0.6912	0.6952	0.58464	0.182	0.02016	0.00856	0.00896	0.003	0.268	0.02564	0.02324	0.03404	0.01364	6.035797e-03	0.00615128	3.7819e-07	3.84197e-07	4.82467e-07	0.00134238	0	0	0	4.122106e-01	4.138473e-01	0.00885807	8.70732e-07	9.71988e-07	1.43678e-06	0	0	0	0	5.396491e-03	43	48	1.1162790698	1	1	0	0	0	0
0.5	0.189474	0.164211	0.186316	0.0802105	0.468421	0.164632	0.153053	0.167789	0.0808421	0.194737	0.0615789	0.01	0.0152632	0.00231579	0.252632	0.0284211	0.0273684	0.0568421	0.0122105	4.191402e-03	6.86123e-05	1.7394e-12	1.30872e-12	3.33967e-12	0.00316735	8.55287e-08	1.09144e-07	1.9128e-07	4.679627e-05	1.572322e-04	0.000816744	1.92963e-09	1.74049e-09	6.24989e-09	0	0	0	0	5.556210e-03	19	17	0.8947368421	1	1	3	0.176471	4	0.210526
0.676471	0.473882	0.497412	0.545647	0.426588	0.682353	0.499765	0.497412	0.513882	0.387765	0.170588	0.0121765	0.00747059	0.0180588	0.00447059	0.270588	0.041	0.0339412	0.0639412	0.0180588	5.980067e-03	0.0014443	1.33739e-08	1.29806e-08	4.94067e-08	0.00071681	1.13129e-09	7.72551e-10	1.77284e-09	2.527324e-02	2.571394e-02	0.00505088	2.07723e-07	4.61388e-07	2.82599e-06	0	0	0	0	6.950114e-03	17	15	0.8823529412	1	1	1	0.066667	1	0.058824
0.535714	0.216571	0.230857	0.276571	0.144571	0.514286	0.237714	0.206286	0.214857	0.133143	0.228571	0.0161429	0.0218571	0.0632857	0.00642857	0.335714	0.0785714	0.0757143	0.101429	0.03	9.376828e-03	0.000224935	9.43447e-11	5.11529e-11	1.07048e-10	0.0024643	1.42291e-07	3.70194e-08	3.77658e-08	9.640834e-04	1.724494e-03	0.000657699	9.43751e-10	1.34096e-09	4.96672e-09	0	0	0	0	1.285443e-02	15	12	0.8	1	1	1	0.083333	2	0.133333
0.788235	0.633412	0.656941	0.694588	0.568471	0.776471	0.656	0.630118	0.618353	0.546824	0.205882	0.0187059	0.014	0.0245882	0.00505882	0.3	0.0612941	0.0483529	0.0695294	0.0208235	1.242418e-02	0.00364684	2.33955e-07	1.9617e-07	3.98348e-07	0.000917239	2.37033e-09	1.59267e-09	1.61831e-09	2.589832e-02	2.323007e-01	0.00509291	2.33961e-07	5.09906e-07	1.70479e-06	0	0	0	0	1.044550e-02	15	15	1	1	1	0	0	0	0
0.525	0.261	0.311	0.391	0.177	0.5	0.274	0.244	0.289	0.202	0.1	0.014875	0.004875	0.028625	0.001375	0.225	0.03975	0.03725	0.10725	0.01275	2.815976e-03	0.000348799	2.46039e-09	7.89212e-10	5.98567e-09	0.00821546	9.16854e-06	3.32831e-06	2.9685e-06	1.177353e-01	1.219966e-01	0.000803852	3.60509e-09	9.69056e-09	2.33493e-07	0	0	0	0	3.372907e-02	7	6	0.8571428571	1	1	0	0	0	0
0.715789	0.539368	0.520421	0.533053	0.396632	0.673684	0.494211	0.471053	0.460526	0.370842	0.215789	0.0156316	0.0135263	0.0282632	0.00547368	0.3	0.0465263	0.0402105	0.0670526	0.0224211	6.102912e-03	0.0015597	1.93018e-08	1.62722e-08	2.71046e-08	0.000279218	1.48854e-10	4.58602e-11	4.41406e-11	2.236701e-01	3.064855e-01	0.00172662	1.69085e-08	1.92398e-08	4.84446e-08	0	0	0	0	6.463213e-03	18	17	0.9444444444	1	1	0	0	0	0
0.65	0.425778	0.419111	0.443556	0.301333	0.566667	0.337444	0.313	0.301889	0.232111	0.161111	0.0106111	0.00616667	0.0161667	0.0025	0.266667	0.0376667	0.031	0.061	0.0143333	6.980526e-03	0.0006373	1.0468e-09	9.29597e-10	1.45403e-09	0.00157402	1.11668e-08	7.69201e-09	8.08145e-09	3.793711e-01	2.363847e-01	0.000678491	7.589e-10	1.19426e-09	3.88837e-09	0	0	0	0	8.340246e-03	17	16	0.9411764706	1	1	0	0	0	0
0.648718	0.387744	0.376974	0.389282	0.279231	0.633333	0.346615	0.34559	0.352769	0.227846	0.223077	0.0184103	0.016359	0.0212308	0.00979487	0.287179	0.0312821	0.0307692	0.0446154	0.0196154	5.843807e-03	0.000562467	0	0	0	6.01899e-05	0	0	0	3.477959e-02	7.823246e-02	0.00105195	1.82808e-09	0	2.15071e-09	0	0	0	0	5.775823e-03	40	37	0.925	1	1	1	0.027027	0	0
0.823077	0.677231	0.677231	0.677231	0.556615	0.792308	0.634462	0.609846	0.594462	0.464615	0.207692	0.0476923	0.01	0.0138462	0.00326923	0.265385	0.0272692	0.0265	0.0480385	0.0147692	6.497850e-03	0.00642335	7.14371e-07	3.58601e-07	2.98138e-07	0.000382841	1.13151e-10	1.0657e-10	1.25664e-10	3.462971e-01	2.692596e-01	0.00922675	1.00625e-06	1.09355e-06	1.52026e-06	0	0	0	0	5.872241e-03	23	24	1.0434782609	1	1	0	0	0	0
0.669565	0.438087	0.446783	0.474609	0.371304	0.626087	0.39587	0.376739	0.368043	0.268478	0.230435	0.0391739	0.020913	0.0443913	0.00965217	0.278261	0.0346957	0.0416522	0.066	0.0243913	4.893077e-03	0.000907202	2.64912e-09	1.34737e-09	1.39926e-09	4.34826e-05	2.97755e-13	2.26702e-13	3.62567e-13	5.548598e-02	8.659191e-02	0.000992697	2.29272e-09	2.11984e-09	4.97708e-09	0	0	0	0	5.271290e-03	21	21	1	1	1	0	0	1	0.047619
0.726667	0.571467	0.558133	0.5848	0.461067	0.686667	0.492533	0.496533	0.528533	0.374933	0.213333	0.105667	0.0403333	0.0203333	0.0122	0.24	0.0383333	0.0263333	0.0603333	0.0126	4.594654e-03	0.00215324	6.61187e-08	3.69047e-08	8.75053e-08	0.000508739	5.32193e-10	2.85727e-10	1.16656e-09	4.698554e-01	3.529967e-01	0.00317199	2.17779e-07	1.08241e-07	2.65508e-07	0	0	0	0	8.188224e-03	12	13	1.0833333333	1	0	0	0	0	0
0.795833	0.597667	0.590167	0.598917	0.43625	0.772917	0.54825	0.547417	0.551583	0.387083	0.229167	0.036625	0.0162083	0.0182917	0.00516667	0.285417	0.0314792	0.0310625	0.0423125	0.0168333	8.200641e-03	0.00195976	0	0	0	0.000207841	0	0	0	1.803388e-01	5.509541e-01	0.00270288	0	0	0	0	0	0	0	7.205082e-03	43	46	1.0697674419	1	1	0	0	0	0
0.866667	0.822857	0.805714	0.79619	0.779048	0.819048	0.73981	0.709333	0.690286	0.662476	0.22381	0.0460476	0.0184286	0.019381	0.00771429	0.290476	0.041381	0.0356667	0.0599524	0.0202857	6.808300e-03	0.0113099	4.71893e-06	2.38754e-06	2.17153e-06	0.000378168	1.31164e-10	1.61442e-10	3.17434e-10	3.492779e-01	4.152786e-01	0.0196924	1.36219e-05	1.07454e-05	1.43417e-05	0	0	0	0	7.582994e-03	17	19	1.1176470588	1	1	0	0	0	0
0.834483	0.742621	0.730207	0.731586	0.654069	0.793103	0.691793	0.670414	0.663517	0.590414	0.2	0.035931	0.015931	0.0166207	0.00572414	0.265517	0.0316552	0.0275172	0.0451034	0.015	6.561145e-03	0.00672824	8.79193e-07	5.72924e-07	6.62066e-07	0.000369008	9.37271e-11	1.20309e-10	3.00088e-10	6.975176e-02	1.191164e-01	0.0104363	1.96369e-06	2.41497e-06	4.50189e-06	0	0	0	0	5.923980e-03	24	27	1.125	1	1	0	0	1	0.041667
0.777193	0.562175	0.553754	0.552702	0.446105	0.749123	0.518386	0.507509	0.504	0.400491	0.217544	0.0136491	0.0122456	0.0154035	0.00536842	0.296491	0.0335614	0.0314561	0.0409298	0.0182982	6.951013e-03	0.00212613	0	0	0	0.000332574	0	0	0	1.782415e-01	2.516624e-01	0.00264974	0	0	0	0	0	0	0	5.330084e-03	54	55	1.0185185185	1	1	0	0	1	0.018519
0.7	0.522	0.505636	0.524727	0.414182	0.672727	0.473273	0.471455	0.484182	0.362727	0.259091	0.064	0.0194545	0.024	0.00563636	0.309091	0.0455455	0.0446364	0.0682727	0.0208182	9.127728e-03	0.000771804	1.73784e-09	1.30336e-09	2.90738e-09	0.0004373	1.94025e-10	2.16054e-10	3.25856e-10	5.829660e-03	2.092198e-01	0.00161086	1.06366e-08	1.03482e-08	3.12613e-08	0	0	0	0	7.431826e-03	23	20	0.8695652174	1	1	0	0	0	0
0.675	0.479	0.495667	0.564	0.372	0.6	0.330667	0.327333	0.344	0.246	0.216667	0.12875	0.0470833	0.0304167	0.01225	0.233333	0.0428333	0.0328333	0.0753333	0.0116667	4.279250e-03	0.000343035	5.76757e-10	4.37877e-10	2.29088e-09	0.00105935	6.39981e-09	1.00403e-08	1.14099e-07	9.656131e-02	2.291530e-01	0.00191601	3.65941e-08	5.18203e-08	4.76214e-07	0	0	0	0	1.140906e-02	12	10	0.8333333333	1	1	0	0	0	0
0.890909	0.854545	0.854545	0.854545	0.818182	0.854545	0.807273	0.787273	0.778182	0.730909	0.213636	0.0519091	0.0255455	0.0182727	0.00490909	0.281818	0.0523636	0.0332727	0.0550909	0.0155455	6.002227e-03	0.0111318	4.42231e-06	2.57664e-06	3.05236e-06	0.000538987	3.63293e-10	3.91615e-10	6.47917e-10	3.915527e-01	2.326686e-01	0.0182599	8.2851e-06	8.49869e-06	1.08182e-05	0	0	0	0	7.048226e-03	22	20	0.9090909091	1	1	0	0	0	0
0.781818	0.627636	0.627636	0.627636	0.542545	0.690909	0.499091	0.47	0.451818	0.334	0.209091	0.0557273	0.0111818	0.0157273	0.00409091	0.25	0.026	0.0250909	0.0505455	0.0144545	8.158719e-03	0.00193642	2.36337e-08	1.13685e-08	9.87074e-09	0.000345121	9.53752e-11	1.14788e-10	1.80916e-10	2.301913e-01	3.917523e-01	0.00336916	7.33384e-08	5.69376e-08	8.04345e-08	0	0	0	0	7.178750e-03	18	20	1.1111111111	1	1	0	0	0	0
0.777778	0.777778	0.777778	0.777778	0.777778	0.666667	0.618667	0.547556	0.503111	0.460444	0.155556	0.0754444	0.011	0.0265556	0.00233333	0.222222	0.0377778	0.0355556	0.0955556	0.0106667	1.851437e-02	0.00448646	2.40306e-06	3.77747e-07	5.80816e-07	0.00602713	2.42482e-06	3.23174e-06	9.46209e-06	4.488419e-01	4.208252e-01	0.0153413	1.56251e-05	1.03528e-05	2.72117e-05	0	0	0	0	2.812952e-02	8	7	0.875	1	1	0	0	0	0
0.806897	0.670345	0.644138	0.630345	0.545103	0.758621	0.579034	0.556966	0.550069	0.457379	0.217241	0.0442069	0.0104138	0.0138621	0.00437931	0.27931	0.0296207	0.028931	0.0475517	0.0157241	2.982132e-03	0.00366317	1.31625e-07	6.42936e-08	6.67788e-08	0.000503664	2.3833e-10	2.426e-10	3.23956e-10	8.371184e-02	4.635366e-02	0.00624898	5.30298e-07	2.9424e-07	3.59948e-07	0	0	0	0	5.127104e-03	26	27	1.0384615385	1	1	0	0	0	0
0.727586	0.497103	0.48469	0.492966	0.341241	0.682759	0.444483	0.423103	0.421724	0.293448	0.22069	0.0232069	0.0218276	0.0314828	0.00744828	0.303448	0.0556897	0.0481034	0.0605172	0.0264828	5.171531e-03	0.00125668	4.91157e-09	4.47236e-09	7.17102e-09	0.000680286	9.3207e-10	4.79995e-10	4.87907e-10	1.216245e-01	1.175222e-01	0.0017715	1.31888e-08	1.18783e-08	2.15145e-08	0	0	0	0	5.283134e-03	29	27	0.9310344828	1	1	0	0	0	0
0.816667	0.670267	0.6636	0.6636	0.5444	0.736667	0.538267	0.516933	0.5036	0.367067	0.256667	0.0530667	0.0204	0.0237333	0.00586667	0.32	0.0437333	0.0430667	0.0604	0.0198667	6.419144e-03	0.00645903	6.22403e-07	3.46511e-07	2.78513e-07	0.00116665	2.89674e-09	2.5093e-09	2.6665e-09	7.438872e-02	1.102674e-01	0.0102974	1.86016e-06	1.41681e-06	1.58537e-06	0	0	0	0	6.776024e-03	23	28	1.2173913044	1	1	0	0	1	0.043478
0.769444	0.624333	0.612667	0.624333	0.502889	0.752778	0.577889	0.576778	0.584556	0.465	0.227778	0.0508611	0.0236389	0.0180833	0.00647222	0.277778	0.0320278	0.0286944	0.0436944	0.0178056	4.018854e-03	0.00155723	7.83943e-09	7.64024e-09	1.29649e-08	0.000134876	0	0	0	4.107333e-02	5.740363e-02	0.00291043	3.99774e-08	4.31132e-08	8.517e-08	0	0	0	0	3.166201e-03	37	34	0.9189189189	1	1	1	0.029412	0	0
0.9	0.824706	0.824706	0.830588	0.778824	0.847059	0.731765	0.718824	0.712941	0.616471	0.191176	0.0265588	0.0095	0.0136176	0.00344118	0.270588	0.0278235	0.0272353	0.0431176	0.0144706	6.423522e-03	0.0150715	7.32965e-06	5.25404e-06	6.56886e-06	0.00100387	1.71191e-09	2.02799e-09	2.90402e-09	4.224840e-01	5.098194e-01	0.0210254	1.18729e-05	1.14484e-05	1.80235e-05	0	0	0	0	6.235548e-03	28	32	1.1428571429	1	1	0	0	0	0
0.736	0.49792	0.49312	0.51072	0.37248	0.716	0.504	0.4864	0.4784	0.38432	0.172	0.01004	0.00684	0.01404	0.00348	0.256	0.03096	0.02616	0.04656	0.01476	5.789972e-03	0.00173444	1.53609e-08	1.19952e-08	1.69105e-08	0.000190851	1.44519e-11	1.17798e-11	1.67633e-11	7.626115e-02	2.377981e-02	0.00232906	2.14336e-08	2.87385e-08	6.26711e-08	0	0	0	0	5.710249e-03	22	23	1.0454545455	1	1	0	0	1	0.045455
0.784615	0.684923	0.684923	0.684923	0.609846	0.661538	0.484308	0.465846	0.493538	0.339692	0.361538	0.157308	0.0896154	0.0819231	0.0394615	0.338462	0.0782308	0.069	0.108231	0.0334615	6.967860e-03	0.00160366	3.52554e-08	1.12191e-08	1.57318e-08	3.41544e-05	5.71935e-13	2.31779e-13	1.07463e-12	1.956037e-01	4.677453e-02	0.00409994	2.28156e-07	1.05096e-07	1.36938e-07	4.6635e-14	0	0	0	1.857720e-02	11	11	1	1	1	0	0	0	0
0.76	0.5188	0.5188	0.5338	0.3762	0.745	0.4974	0.5014	0.5144	0.3524	0.2025	0.0345	0.01	0.0125	0.00425	0.265	0.024875	0.024375	0.037875	0.015075	6.763698e-03	0.00161567	7.57638e-09	5.84067e-09	8.90093e-09	0.000385776	0	0	0	5.359524e-02	2.150924e-02	0.00287013	3.41774e-08	2.73227e-08	3.28209e-08	0	0	0	0	7.465939e-03	35	38	1.0857142857	1	1	1	0.026316	2	0.057143
